cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
497600504.13, 1907429.76,    0.00, 1226131850.45,  32815.99,      89.43,       3911.86, 129689191.00,     1, 2.46, 1.00, 3.84 , 0.463427, 1.14192
487880638.31, 1924073.80,    0.00, 1212893387.16,  33637.68,      30.62,       3943.03, 128124406.00,     1, 2.49, 1.00, 3.81 , 0.454374, 1.12959
488832733.62, 1845907.62,    0.00, 1255377652.17,  32413.05,     195.49,       3496.04, 127592910.00,     1, 2.57, 1.00, 3.83 , 0.455261, 1.16916
487213061.37, 1872671.41,    0.00, 1196880755.14,  33778.62,      30.75,       3305.62, 126921994.00,     1, 2.46, 1.00, 3.84 , 0.453753, 1.11468
483379779.31, 1832417.95,    0.00, 1286081128.46,  33084.32,       9.78,       3270.18, 125714319.00,     1, 2.66, 1.00, 3.85 , 0.450183, 1.19776
487190164.28, 1811540.92,    0.00, 1279066836.52,  35712.97,      29.38,       3613.37, 127389728.00,     1, 2.63, 1.00, 3.82 , 0.453731, 1.19122
486983397.14, 1919226.23,    0.00, 1321977189.63,  35746.79,     108.00,       3691.20, 128193022.00,     1, 2.71, 1.00, 3.80 , 0.453539, 1.23119
486894129.48, 1810826.66,    0.00, 1164383140.09,  34055.15,      28.10,       3510.08, 126513852.00,     1, 2.39, 1.00, 3.85 , 0.453455, 1.08442
507942589.39, 1989839.10,    0.00, 1357026318.98,  36186.91,     135.06,    1045122.47, 134417721.00,     1, 2.67, 1.00, 3.78 , 0.473058, 1.26383
491066534.37, 2099660.90,    0.00, 1346884850.93,  33435.46,     143.77,       4354.65, 132593022.00,     1, 2.74, 1.00, 3.70 , 0.457341, 1.25438
493176033.01, 1841667.47,    0.00, 1388614216.67,  35339.06,      37.76,     159309.63, 128727028.00,     1, 2.82, 1.00, 3.83 , 0.459306, 1.29325
486289262.87, 1996257.88,    0.00, 1330405980.37,  36073.63,     177.17,       4103.92, 130189784.00,     1, 2.74, 1.00, 3.74 , 0.452892, 1.23904
525140493.99, 2021590.53,    0.00, 1427119772.28,  37800.82,     118.45,    1051595.87, 139329963.00,     1, 2.72, 1.00, 3.77 , 0.489075, 1.32911
501555070.21, 1941268.91,    0.00, 1416288632.59,  37587.41,      63.54,       3771.68, 130899647.00,     1, 2.82, 1.00, 3.83 , 0.46711, 1.31902
513697883.05, 2051057.87,    0.00, 1457617718.51,  39740.55,     121.51,       4154.72, 134297368.00,     1, 2.84, 1.00, 3.83 , 0.478418, 1.35751
487610667.21, 1930674.16,    0.00, 1097222157.81,  37548.14,      56.26,       3772.23, 127130743.00,     1, 2.25, 1.00, 3.84 , 0.454123, 1.02187
525966354.16, 1957522.02,    0.00, 1488975853.25,  39022.18,      20.88,       3843.48, 136672907.00,     1, 2.83, 1.00, 3.85 , 0.489844, 1.38672
524680347.07, 1931158.88,    0.00, 1479816687.32,  40590.24,      30.70,       3927.61, 136648847.00,     1, 2.82, 1.00, 3.84 , 0.488647, 1.37819
538632956.64, 2001836.65,    0.00, 1527447366.19,  41723.38,      30.88,       3747.33, 140335280.00,     1, 2.84, 1.00, 3.84 , 0.501641, 1.42255
542374084.68, 2146890.92,    0.00, 1472722425.00,  40354.73,      37.55,       4357.60, 144320896.00,     1, 2.72, 1.00, 3.76 , 0.505125, 1.37158
563002412.11, 2143227.13,    0.00, 1557216432.47,  42930.51,      90.78,       4522.16, 148363236.00,     1, 2.77, 1.00, 3.79 , 0.524337, 1.45027
569552902.64, 2131385.39,    0.00, 1548182035.37,  43538.90,      43.53,       4119.35, 148174348.00,     1, 2.72, 1.00, 3.84 , 0.530437, 1.44186
598700047.64, 2166748.12,    0.00, 1600032734.34,  46543.59,     120.23,       5040.05, 155947432.00,     1, 2.67, 1.00, 3.84 , 0.557583, 1.49015
525660439.98, 1996237.20,    0.00, 1430903087.07,  40739.21,       9.72,       3687.27, 137252577.00,     1, 2.72, 1.00, 3.83 , 0.489559, 1.33263
613016158.61, 2295929.84,    0.00, 1632295131.27,  47112.20,      27.72,       4485.84, 159380703.00,     1, 2.66, 1.00, 3.85 , 0.570916, 1.52019
616692903.62, 2326042.84,    0.00, 1618827992.66,  49038.35,      23.78,       4160.07, 160813616.00,     1, 2.63, 1.00, 3.83 , 0.57434, 1.50765
665643165.66, 2530966.73,    0.00, 1672648808.99,  55339.37,     270.77,       5643.32, 182351464.00,     1, 2.51, 1.00, 3.65 , 0.619929, 1.55778
651895675.54, 2625332.07,    0.00, 1596379475.27,  55990.42,     452.35,       5658.94, 178932552.00,     1, 2.45, 1.00, 3.64 , 0.607125, 1.48674
704641820.71, 2636043.56,    0.00, 1704576661.50,  60029.53,      88.42,       5922.32, 183965047.00,     1, 2.42, 1.00, 3.83 , 0.656249, 1.58751
704865466.61, 2536646.42,    0.00, 1691976970.06,  58201.64,      16.87,       4980.70, 182738805.00,     1, 2.40, 1.00, 3.86 , 0.656457, 1.57578
630497365.78, 2257973.50,    0.00, 1734063428.11,  53166.17,      14.01,       4370.37, 164145763.00,     1, 2.75, 1.00, 3.84 , 0.587196, 1.61497
507781556.13, 1936933.04,    0.00, 1788242771.62,  42618.45,      63.00,    1052468.89, 132972103.00,     1, 3.52, 1.00, 3.82 , 0.472908, 1.66543
