cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
1418981487.51, 5681681.37,    0.00, 5035406715.78, 100276.36,     302.14,    1509658.30, 387821802.00,     1, 3.55, 1.00, 3.66 , 1.32153, 4.68959
1414847181.24, 4780790.94,    0.00, 5038108759.69,  89963.20,      36.35,    1058323.82, 366902955.00,     1, 3.56, 1.00, 3.86 , 1.31768, 4.6921
1440969445.41, 5414680.31,    0.00, 5134683700.43,  89611.16,     416.03,    1060076.04, 386250595.00,     1, 3.56, 1.00, 3.73 , 1.34201, 4.78205
1439107695.17, 5324218.73,    0.00, 5127385070.97,  93955.32,     499.67,    1058193.21, 377903286.00,     1, 3.56, 1.00, 3.81 , 1.34027, 4.77525
1469554441.07, 5101768.13,    0.00, 5214526418.70,  94940.21,     115.66,    1057577.01, 382668440.00,     1, 3.55, 1.00, 3.84 , 1.36863, 4.85641
1470258711.48, 5155741.37,    0.00, 5212462381.00,  94917.09,      48.98,    1076943.68, 384848607.00,     1, 3.55, 1.00, 3.82 , 1.36929, 4.85448
1488364674.41, 4997785.38,    0.00, 5291948934.49,  97316.77,      46.21,    1058703.78, 385704476.00,     1, 3.56, 1.00, 3.86 , 1.38615, 4.92851
1490098186.62, 5118385.76,    0.00, 5296573094.82,  98122.87,      90.89,    1058282.72, 387748399.00,     1, 3.55, 1.00, 3.84 , 1.38776, 4.93282
1525783546.97, 5001625.14,    0.00, 5390121907.75, 101558.07,      40.59,    1057982.33, 394391194.00,     1, 3.53, 1.00, 3.87 , 1.421, 5.01994
1524538451.20, 5199740.76,    0.00, 5378751856.55, 107606.74,      29.32,    1057579.56, 395030826.00,     1, 3.53, 1.00, 3.86 , 1.41984, 5.00935
1541321837.69, 5256765.42,    0.00, 5480363638.98, 108823.53,      39.28,    1057936.53, 400251356.00,     1, 3.56, 1.00, 3.85 , 1.43547, 5.10399
1540940888.96, 5301751.10,    0.00, 5465162398.06, 108332.29,     260.34,    1058789.02, 401283036.00,     1, 3.55, 1.00, 3.84 , 1.43511, 5.08983
1573367316.51, 5497202.94,    0.00, 5558658568.02, 105310.26,     147.78,    1059832.29, 411055496.00,     1, 3.53, 1.00, 3.83 , 1.46531, 5.1769
1576806731.75, 5363616.01,    0.00, 5545896847.90, 114217.71,     115.84,    1058126.93, 409152621.00,     1, 3.52, 1.00, 3.85 , 1.46852, 5.16502
1598332506.18, 5625817.51,    0.00, 5644236251.97, 114833.66,      65.87,    1059983.58, 420360857.00,     1, 3.53, 1.00, 3.80 , 1.48856, 5.2566
1585345543.24, 5564747.21,    0.00, 5633217884.13, 116562.00,      93.44,    1058386.72, 411384338.00,     1, 3.55, 1.00, 3.85 , 1.47647, 5.24634
1619251516.64, 5371961.54,    0.00, 5729217037.45, 113328.62,      55.84,    1058458.54, 418650346.00,     1, 3.54, 1.00, 3.87 , 1.50805, 5.33575
1624528446.65, 5504082.24,    0.00, 5725108491.21, 119869.36,      79.70,    1059885.97, 421317016.00,     1, 3.52, 1.00, 3.86 , 1.51296, 5.33192
1649003987.28, 5636450.41,    0.00, 5813512268.67, 118351.05,      15.41,    1058933.45, 427358343.00,     1, 3.53, 1.00, 3.86 , 1.53575, 5.41426
1639264228.42, 5639312.56,    0.00, 5816463578.59, 119627.78,      20.92,    1059337.14, 424475524.00,     1, 3.55, 1.00, 3.86 , 1.52668, 5.417
1666927367.06, 5618136.66,    0.00, 5894768394.90, 118703.42,      27.93,    1058708.08, 431490653.00,     1, 3.54, 1.00, 3.86 , 1.55245, 5.48993
1670885009.03, 5604866.02,    0.00, 5900940943.08, 124499.00,      15.37,    1057909.52, 433098429.00,     1, 3.53, 1.00, 3.86 , 1.55613, 5.49568
1699780936.34, 5664856.50,    0.00, 5979998349.03, 126186.42,      56.04,    1060284.25, 441338643.00,     1, 3.52, 1.00, 3.85 , 1.58304, 5.56931
1696955981.57, 6128880.47,    0.00, 5984942996.59, 125118.45,      89.34,    1059524.03, 446648906.00,     1, 3.53, 1.00, 3.80 , 1.58041, 5.57391
1739076003.73, 5922955.58,    0.00, 6077285039.76, 129822.21,      83.95,    1060637.64, 450641246.00,     1, 3.49, 1.00, 3.86 , 1.61964, 5.65991
1725223388.45, 5756350.36,    0.00, 6059427859.26, 130461.48,     103.35,    1059994.94, 446518439.00,     1, 3.51, 1.00, 3.86 , 1.60674, 5.64328
1754637888.75, 5965754.73,    0.00, 6168844655.61, 130195.59,      62.86,    1059758.76, 458157521.00,     1, 3.52, 1.00, 3.83 , 1.63413, 5.74518
1743128534.90, 5816308.67,    0.00, 6150054922.41, 129920.49,      28.00,    1058857.43, 451211852.00,     1, 3.53, 1.00, 3.86 , 1.62341, 5.72768
1782017921.55, 6054934.09,    0.00, 6257473368.57, 135300.11,      32.22,    1058735.30, 462315934.00,     1, 3.51, 1.00, 3.85 , 1.65963, 5.82773
1768375421.87, 6011854.33,    0.00, 6238082787.80, 136819.93,      60.06,    1059035.51, 458297188.00,     1, 3.53, 1.00, 3.86 , 1.64693, 5.80967
1811307843.52, 6090182.41,    0.00, 6332220806.05, 140376.22,      18.20,    1059477.06, 468943186.00,     1, 3.50, 1.00, 3.86 , 1.68691, 5.89734
707450871.40, 2569750.95,    0.00, 1549623206.76,  57427.91,      55.99,    1054908.88, 184647788.00,     1, 2.19, 1.00, 3.83 , 0.658865, 1.4432
