cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
404209690.06, 1673391.50,    0.00, 1343935970.61,  42979.67,      93.95,       3237.94, 105258948.00,     1, 3.32, 1.00, 3.84 , 0.37645, 1.25164
376247290.98, 1482639.47,    0.00, 1342809109.93,  38236.28,      38.03,       2771.75, 98580967.00,     1, 3.57, 1.00, 3.82 , 0.350408, 1.25059
390982527.22, 1478936.13,    0.00, 1361321442.45,  41842.75,       8.30,       2772.79, 101720088.00,     1, 3.48, 1.00, 3.84 , 0.364131, 1.26783
372848863.42, 1504805.06,    0.00, 1339041952.99,  40372.10,      19.50,       2834.70, 97508503.00,     1, 3.59, 1.00, 3.82 , 0.347243, 1.24708
390842823.78, 1570247.91,    0.00, 1374930721.09,  42501.13,      11.12,       2923.85, 102292273.00,     1, 3.52, 1.00, 3.82 , 0.364001, 1.2805
386601403.47, 1481966.49,    0.00, 1368755317.47,  40601.99,      16.70,       2783.47, 100745334.00,     1, 3.54, 1.00, 3.84 , 0.360051, 1.27475
398192050.97, 1665170.15,    0.00, 1384993123.21,  47160.92,      18.29,       3430.52, 105510197.00,     1, 3.48, 1.00, 3.77 , 0.370845, 1.28988
377512020.52, 1447134.19,    0.00, 1331985435.32,  40452.06,      22.48,       2445.44, 98321717.00,     1, 3.53, 1.00, 3.84 , 0.351585, 1.24051
444819476.23, 1679473.24,    0.00, 1398920912.91,  48673.32,       8.34,       3168.03, 115886302.00,     1, 3.14, 1.00, 3.84 , 0.41427, 1.30285
449570915.58, 1720704.87,    0.00, 1395131631.51,  48870.25,      11.07,    2000579.16, 117281711.00,     1, 3.10, 1.00, 3.83 , 0.418696, 1.29932
415198684.15, 1703641.46,    0.00, 1413304388.85,  71585.02,      24.78,       3344.93, 110093162.00,     1, 3.40, 1.00, 3.77 , 0.386684, 1.31624
408767643.49, 1827282.63,    0.00, 1391858210.89,  44182.81,     262.95,       3863.79, 112487375.00,     1, 3.41, 1.00, 3.63 , 0.380695, 1.29627
524889458.96, 2300909.38,    0.00, 1419661035.13,  61511.33,     148.07,    3572669.44, 141859113.00,     1, 2.70, 1.00, 3.70 , 0.488841, 1.32216
503308526.88, 1917841.14,    0.00, 1418714030.26,  56640.61,      44.26,    1972922.88, 131183162.00,     1, 2.82, 1.00, 3.84 , 0.468743, 1.32128
464067376.11, 1803950.14,    0.00, 1436533380.23,  54519.24,      19.46,       3475.16, 121279191.00,     1, 3.10, 1.00, 3.83 , 0.432196, 1.33788
421575141.67, 1608297.23,    0.00, 1315471957.23,  48813.30,      53.98,       2916.47, 110588047.00,     1, 3.12, 1.00, 3.81 , 0.392622, 1.22513
470532449.14, 1918908.04,    0.00, 1444796644.70,  55354.89,      68.97,       3445.02, 124111896.00,     1, 3.07, 1.00, 3.79 , 0.438217, 1.34557
525561855.72, 1961816.69,    0.00, 1446918970.84,  61008.24,      15.35,    2053636.71, 136889652.00,     1, 2.75, 1.00, 3.84 , 0.489468, 1.34755
416915239.79, 1659350.87,    0.00, 1463252915.69,  48386.22,      88.79,       3341.97, 112748423.00,     1, 3.51, 1.00, 3.70 , 0.388283, 1.36276
449221911.42, 1778371.62,    0.00, 1440525310.84,  52137.18,      73.63,       3187.81, 117579506.00,     1, 3.21, 1.00, 3.82 , 0.418371, 1.34159
476734778.65, 1969103.13,    0.00, 1473453054.12,  58166.72,     108.94,       3960.66, 127637207.00,     1, 3.09, 1.00, 3.74 , 0.443994, 1.37226
469514651.01, 1804274.18,    0.00, 1476423788.25,  56560.18,      51.43,       3303.60, 122905751.00,     1, 3.14, 1.00, 3.82 , 0.43727, 1.37503
444357075.39, 1645496.95,    0.00, 1486940004.62,  54862.23,      41.70,       2850.04, 115745172.00,     1, 3.35, 1.00, 3.84 , 0.41384, 1.38482
456496159.72, 1709443.47,    0.00, 1433523595.23,  53744.13,      26.69,       2993.28, 119392427.00,     1, 3.14, 1.00, 3.82 , 0.425145, 1.33507
491639081.09, 1846599.34,    0.00, 1496121959.08,  59832.69,      30.66,       3476.37, 128085161.00,     1, 3.04, 1.00, 3.84 , 0.457875, 1.39337
453184827.69, 1691894.39,    0.00, 1494856646.44,  55198.41,      30.57,       3012.45, 118100542.00,     1, 3.30, 1.00, 3.84 , 0.422061, 1.39219
493453379.84, 1846786.11,    0.00, 1508058307.96,  63549.67,      14.01,       3237.28, 128310989.00,     1, 3.06, 1.00, 3.85 , 0.459564, 1.40449
477412784.14, 1796698.71,    0.00, 1494948891.39,  56665.94,      37.87,    2048755.85, 126240453.00,     1, 3.13, 1.00, 3.78 , 0.444625, 1.39228
492303508.79, 1970627.63,    0.00, 1521468160.37,  61228.46,     178.99,       4549.97, 128874172.00,     1, 3.09, 1.00, 3.82 , 0.458493, 1.41698
413189661.28, 1685318.79,    0.00, 1521498547.73,  51911.14,     210.52,       3552.41, 107962682.00,     1, 3.68, 1.00, 3.83 , 0.384813, 1.41701
493503688.88, 2096071.90,    0.00, 1537912788.81,  70344.08,     214.72,       5450.62, 144752342.00,     1, 3.12, 1.00, 3.41 , 0.459611, 1.43229
345262326.65, 1417602.15,    0.00, 1010783924.08,  43731.18,      29.30,       2711.90, 90672732.00,     1, 2.93, 1.00, 3.81 , 0.321551, 0.941366
