cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
989208644.82, 3576851.55,    0.00, 2952189696.46, 105055.03,     115.71,       7569.64, 257896956.00,     1, 2.98, 1.00, 3.84 , 0.921272, 2.74944
922473349.51, 3261791.64,    0.00, 2944119031.00,  95328.00,      18.25,       6386.00, 239122966.00,     1, 3.19, 1.00, 3.86 , 0.85912, 2.74192
930761952.56, 3356151.21,    0.00, 3006176638.56, 101353.45,      27.91,       6718.61, 241886322.00,     1, 3.23, 1.00, 3.85 , 0.86684, 2.79972
944945659.31, 3632772.43,    0.00, 2924597869.05,  97276.60,      59.90,       7848.02, 250732878.00,     1, 3.09, 1.00, 3.77 , 0.880049, 2.72374
947954596.68, 3640860.84,    0.00, 3051057427.71, 102929.06,     365.09,       7822.99, 252837613.00,     1, 3.22, 1.00, 3.75 , 0.882852, 2.84152
1027785654.89, 3835534.98,    0.00, 3046186247.80, 114044.24,     240.70,      11869.27, 268958672.00,     1, 2.96, 1.00, 3.82 , 0.9572, 2.83698
982597653.50, 3543298.03,    0.00, 3102036310.37, 110514.07,     124.40,       6921.59, 255461303.00,     1, 3.16, 1.00, 3.85 , 0.915115, 2.889
914116417.18, 3442135.08,    0.00, 2891217367.49, 102372.15,     113.00,       6929.77, 240623380.00,     1, 3.16, 1.00, 3.80 , 0.851337, 2.69266
1045458476.52, 3676612.85,    0.00, 3156758994.11, 117292.14,      52.92,       7274.60, 271572797.00,     1, 3.02, 1.00, 3.85 , 0.973659, 2.93996
1020525493.73, 3589719.86,    0.00, 3139908475.75, 113493.35,      33.45,     843716.97, 264436475.00,     1, 3.08, 1.00, 3.86 , 0.950438, 2.92427
1006418624.87, 3516697.39,    0.00, 3202868808.19, 115413.83,      23.76,       6979.86, 260722012.00,     1, 3.18, 1.00, 3.86 , 0.9373, 2.9829
1069049531.61, 3866317.29,    0.00, 3127721534.47, 120954.14,      80.76,       7748.52, 278031685.00,     1, 2.93, 1.00, 3.85 , 0.99563, 2.91292
1059737207.47, 3803909.22,    0.00, 3254212419.79, 124335.67,      64.21,       7433.93, 275928200.00,     1, 3.07, 1.00, 3.84 , 0.986957, 3.03072
1029440948.24, 3585410.21,    0.00, 3245169490.40, 118636.16,     127.41,      10456.44, 266702559.00,     1, 3.15, 1.00, 3.86 , 0.958742, 3.0223
1038129094.42, 3651015.00,    0.00, 3301419361.06, 122428.59,      27.94,       7458.97, 268998939.00,     1, 3.18, 1.00, 3.86 , 0.966833, 3.07469
973982085.53, 3393787.40,    0.00, 2831063361.67, 113028.78,      43.39,       6809.26, 253227002.00,     1, 2.91, 1.00, 3.85 , 0.907092, 2.63663
1092336994.87, 3822043.38,    0.00, 3353871682.33, 129792.36,      51.59,       7496.11, 282952019.00,     1, 3.07, 1.00, 3.86 , 1.01732, 3.12354
1080222504.31, 3742996.43,    0.00, 3344177279.67, 126927.02,      50.44,     954533.98, 280210160.00,     1, 3.10, 1.00, 3.86 , 1.00604, 3.11451
1072239994.26, 3788974.49,    0.00, 3403458361.98, 129526.61,      26.49,       7355.73, 278062225.00,     1, 3.17, 1.00, 3.86 , 0.998601, 3.16972
1046540445.54, 3747272.16,    0.00, 3331833431.83, 127771.98,      30.73,       7325.42, 272380582.00,     1, 3.18, 1.00, 3.84 , 0.974667, 3.10301
1153245725.25, 4196087.63,    0.00, 3465289871.72, 147575.80,     224.57,      10061.86, 301662725.00,     1, 3.00, 1.00, 3.82 , 1.07404, 3.2273
1138813153.36, 4072999.89,    0.00, 3449434571.43, 138480.95,      48.92,       8278.13, 295781155.00,     1, 3.03, 1.00, 3.85 , 1.0606, 3.21254
1137348144.74, 4384568.53,    0.00, 3508882082.57, 143937.17,     239.33,       9341.72, 302063091.00,     1, 3.09, 1.00, 3.77 , 1.05924, 3.2679
1064259094.91, 3804059.38,    0.00, 3297172927.40, 131998.05,      36.26,       7434.70, 275875977.00,     1, 3.10, 1.00, 3.86 , 0.991169, 3.07073
1099801224.53, 4182609.86,    0.00, 3556396251.17, 145536.24,     161.88,      33997.13, 289630136.00,     1, 3.23, 1.00, 3.80 , 1.02427, 3.31215
1093972827.86, 4063026.04,    0.00, 3550409914.61, 138910.26,      71.41,       8375.69, 288140135.00,     1, 3.25, 1.00, 3.80 , 1.01884, 3.30658
1112459495.46, 3964360.27,    0.00, 3605370679.06, 145343.73,      58.65,       7899.94, 289269205.00,     1, 3.24, 1.00, 3.85 , 1.03606, 3.35776
1095153021.80, 3926138.54,    0.00, 3535097363.06, 2005398.51,     336.34,      11025.38, 284845285.00,     1, 3.23, 1.00, 3.84 , 1.01994, 3.29232
1055119747.83, 3963883.73,    0.00, 3652360536.24, 503460.61,     731.08,       8553.42, 275536134.00,     1, 3.46, 1.00, 3.83 , 0.982657, 3.40153
1128805527.09, 4275854.83,    0.00, 3650143785.83, 2507914.48,      83.84,       8760.20, 295770059.00,     1, 3.23, 1.00, 3.82 , 1.05128, 3.39946
1171900155.75, 4285126.92,    0.00, 3703967590.98, 3093792.17,      47.37,       8356.10, 305394055.00,     1, 3.16, 1.00, 3.84 , 1.09142, 3.44959
763678311.38, 2849919.25,    0.00, 1591458441.74, 3295286.72,      62.85,       5582.13, 199666091.00,     1, 2.08, 1.00, 3.82 , 0.711231, 1.48216
