cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
164897328.27, 734659.91,    0.00, 610395427.96,  11780.14,      19.65,       1356.44, 43196112.00,     1, 3.70, 1.00, 3.82 , 0.153573, 0.568475
168193187.32, 739925.05,    0.00, 608893444.19,  12242.22,       6.89,       1501.17, 44242394.00,     1, 3.62, 1.00, 3.80 , 0.156642, 0.567076
172262961.85, 714541.66,    0.00, 622594150.91,  11957.12,      30.65,       1467.47, 45268801.00,     1, 3.61, 1.00, 3.81 , 0.160432, 0.579836
166688173.13, 693071.18,    0.00, 609622853.81,  11294.82,      40.41,       1467.80, 43963677.00,     1, 3.66, 1.00, 3.79 , 0.15524, 0.567756
180028325.77, 797486.95,    0.00, 636687897.38,  12663.48,       5.42,       1505.75, 47145030.00,     1, 3.54, 1.00, 3.82 , 0.167664, 0.592962
178279240.04, 769229.37,    0.00, 635090845.61,  13203.16,       6.76,       1729.78, 46607294.00,     1, 3.56, 1.00, 3.83 , 0.166035, 0.591474
191493372.23, 800561.21,    0.00, 649059125.92,  13662.27,      16.83,       1315.48, 50207818.00,     1, 3.39, 1.00, 3.81 , 0.178342, 0.604483
170754369.07, 766280.67,    0.00, 595381579.48,  12836.69,       5.48,       1403.46, 45004352.00,     1, 3.49, 1.00, 3.79 , 0.159027, 0.554492
183013957.16, 1204584.67,    0.00, 674540027.33,  23025.80,     680.91,       8060.48, 79005344.00,     1, 3.69, 1.00, 2.32 , 0.170445, 0.628214
186641923.15, 872446.30,    0.00, 657141930.34,  15671.23,      16.89,       1869.15, 49250724.00,     1, 3.52, 1.00, 3.79 , 0.173824, 0.612011
196027267.52, 909435.08,    0.00, 673027548.84,  16884.88,      19.51,       2982.91, 51171570.00,     1, 3.43, 1.00, 3.83 , 0.182565, 0.626806
185576952.51, 810555.89,    0.00, 655700441.45,  15897.52,      16.63,       2910.75, 48486316.00,     1, 3.53, 1.00, 3.83 , 0.172832, 0.610669
211526646.73, 899595.92,    0.00, 685898199.55,  17672.97,      15.22,       2646.16, 55321755.00,     1, 3.24, 1.00, 3.82 , 0.197, 0.638792
200954812.17, 876338.25,    0.00, 686492459.69,  17374.38,      16.40,       7844.18, 52613270.00,     1, 3.42, 1.00, 3.82 , 0.187154, 0.639346
206166317.10, 978803.98,    0.00, 695921341.89,  18657.99,      38.15,       2883.17, 54134321.00,     1, 3.38, 1.00, 3.81 , 0.192007, 0.648127
178932837.28, 756921.93,    0.00, 580096563.07,  15377.14,      58.05,       2997.80, 46923104.00,     1, 3.24, 1.00, 3.81 , 0.166644, 0.540257
207904903.49, 895249.65,    0.00, 711628115.92,  18697.10,       8.16,       5406.98, 54370937.00,     1, 3.42, 1.00, 3.82 , 0.193627, 0.662755
210464393.66, 927716.54,    0.00, 706946372.58,  17988.36,      33.03,       3194.62, 55037610.00,     1, 3.36, 1.00, 3.82 , 0.19601, 0.658395
216665868.12, 960428.70,    0.00, 721634778.57,  19295.25,       7.04,       2260.87, 56875555.00,     1, 3.33, 1.00, 3.81 , 0.201786, 0.672075
212410238.39, 943061.35,    0.00, 706832877.02,  17878.16,       8.37,       2462.95, 55816795.00,     1, 3.33, 1.00, 3.81 , 0.197822, 0.658289
226471272.08, 963321.03,    0.00, 734761541.64,  20108.62,       6.96,       2702.00, 59067492.00,     1, 3.24, 1.00, 3.83 , 0.210918, 0.6843
226334731.04, 956981.42,    0.00, 732797825.85,  18985.17,      80.44,       2509.70, 58847077.00,     1, 3.24, 1.00, 3.85 , 0.210791, 0.682471
232663194.50, 947832.24,    0.00, 751004538.94,  20393.23,      13.71,       3552.00, 60818621.00,     1, 3.23, 1.00, 3.83 , 0.216684, 0.699427
234997133.81, 958268.42,    0.00, 695605232.40,  20180.16,       8.21,       3066.15, 61566834.00,     1, 2.96, 1.00, 3.82 , 0.218858, 0.647833
254567305.96, 1443578.73,    0.00, 769575868.74,  28074.92,     169.43,    1047995.27, 90959411.00,     1, 3.02, 1.00, 2.80 , 0.237084, 0.716723
248182438.16, 1121337.16,    0.00, 761241409.90,  20474.60,      19.54,       2429.06, 66024230.00,     1, 3.07, 1.00, 3.76 , 0.231138, 0.708961
254675672.38, 1073779.06,    0.00, 774213235.46,  21994.55,      26.15,       9023.64, 67963769.00,     1, 3.04, 1.00, 3.75 , 0.237185, 0.721042
257278236.81, 1148609.34,    0.00, 754094967.50,  22455.65,     135.80,       5029.87, 68574408.00,     1, 2.93, 1.00, 3.75 , 0.239609, 0.702306
258445644.15, 1098860.68,    0.00, 786909768.09,  20639.87,      16.61,       2235.56, 67882505.00,     1, 3.04, 1.00, 3.81 , 0.240696, 0.732867
269923853.94, 1100144.05,    0.00, 783760946.84,  21954.87,      15.51,       2695.54, 70464543.00,     1, 2.90, 1.00, 3.83 , 0.251386, 0.729934
225573514.02, 938260.57,    0.00, 801761163.73,  18739.04,       9.64,       1776.58, 59453280.00,     1, 3.55, 1.00, 3.79 , 0.210082, 0.746698
179352870.85, 801186.62,    0.00, 543761282.94,  15227.11,      12.33,       1972.40, 47150577.00,     1, 3.03, 1.00, 3.80 , 0.167035, 0.506417
