dataset|column|type|uncompressed_size|scheme|block_size|morsel|p2schema|p2header|p2payload|compressed_size|compressed_header|compressed_payload|compression_rate|decompression_time|decompression_bandwidth(compressed)|decompression_bandwidth(uncompressed)
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|true||||1916848|104400|1812448|1.54921|381|5.03053|7.79335
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false||||1916848|104400|1812448|1.54921|1657|1.15646|1.7916
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|lz4|true|true|1916848|104400|1812448|1.54921|1536|1.24778|1.93307
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|lz4|true|false|1916848|104400|1812448|1.54921|1688|1.13497|1.7583
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|lz4|false|true|1916848|104400|1812448|1.54921|1668|1.14873|1.77963
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|lz4|false|false|1916848|104400|1812448|1.54921|1528|1.25373|1.94228
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|zstd|true|true|1869320|0|1869320|1.5886|5776|0.323617|0.514097
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|zstd|true|false|1890017|77569|1812448|1.5712|4923|0.383879|0.603152
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|zstd|false|true|1893136|104400|1788736|1.56861|5533|0.342099|0.536621
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|zstd|false|false|1869320|0|1869320|1.5886|5566|0.335846|0.533524
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|snappy|true|true|1906239|0|1906239|1.55783|5285|0.360651|0.561833
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|snappy|true|false|1906152|93704|1812448|1.5579|5418|0.351768|0.548021
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|snappy|false|true|1916848|104400|1812448|1.54921|1579|1.21384|1.8805
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|64|false|snappy|false|false|1906239|0|1906239|1.55783|4923|0.387205|0.603201
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|true||||1804376|52200|1752176|1.64578|125|14.4202|23.7325
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false||||1804376|52200|1752176|1.64578|1438|1.25455|2.06471
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|lz4|true|true|1804376|52200|1752176|1.64578|1314|1.37225|2.25842
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|lz4|true|false|1801688|49512|1752176|1.64823|4810|0.374561|0.617363
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|lz4|false|true|1804376|52200|1752176|1.64578|1493|1.20815|1.98834
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|lz4|false|false|1804376|52200|1752176|1.64578|1323|1.3635|2.24402
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|zstd|true|true|1795696|0|1795696|1.65373|5008|0.358498|0.592859
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|zstd|true|false|1790682|38506|1752176|1.65836|4647|0.385275|0.638925
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|zstd|false|true|1804376|52200|1752176|1.64578|1454|1.24081|2.04209
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|zstd|false|false|1795696|0|1795696|1.65373|4766|0.376725|0.623003
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|snappy|true|true|1804376|52200|1752176|1.64578|1415|1.27472|2.0979
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|snappy|true|false|1804376|52200|1752176|1.64578|1466|1.23063|2.02534
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|snappy|false|true|1804376|52200|1752176|1.64578|1419|1.2708|2.09145
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|128|false|snappy|false|false|1804376|52200|1752176|1.64578|1378|1.30883|2.15403
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|true||||1788852|26100|1762752|1.66006|116|15.3128|25.4201
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false||||1788852|26100|1762752|1.66006|1409|1.26949|2.10743
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|lz4|true|true|1788852|26100|1762752|1.66006|1381|1.2948|2.14944
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|lz4|true|false|1787280|24528|1762752|1.66152|4607|0.387909|0.644519
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|lz4|false|true|1788852|26100|1762752|1.66006|1455|1.22864|2.03962
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|lz4|false|false|1788852|26100|1762752|1.66006|1377|1.29866|2.15586
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|zstd|true|true|1785581|0|1785581|1.6631|4854|0.367849|0.611769
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|zstd|true|false|1781481|18729|1762752|1.66693|4725|0.377027|0.628476
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|zstd|false|true|1788852|26100|1762752|1.66006|1413|1.26538|2.10061
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|zstd|false|false|1785581|0|1785581|1.6631|4869|0.366707|0.60987
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|snappy|true|true|1787279|0|1787279|1.66152|4746|0.376576|0.625689
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|snappy|true|false|1787202|24450|1762752|1.66159|4665|0.383082|0.636526
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|snappy|false|true|1788852|26100|1762752|1.66006|1378|1.29759|2.15408
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|256|false|snappy|false|false|1787279|0|1787279|1.66152|4923|0.363021|0.603166
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|true||||1783546|13050|1770496|1.665|92|19.3641|32.2411
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false||||1783546|13050|1770496|1.665|1406|1.26767|2.11067
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|lz4|true|true|1783546|13050|1770496|1.665|1426|1.25065|2.08232
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|lz4|true|false|1782644|12148|1770496|1.66584|4688|0.380229|0.6334
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|lz4|false|true|1783546|13050|1770496|1.665|1450|1.22923|2.04666
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|lz4|false|false|1783546|13050|1770496|1.665|1481|1.20357|2.00394
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|zstd|true|true|1783546|13050|1770496|1.665|1457|1.22405|2.03805
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|zstd|true|false|1779673|9177|1770496|1.66862|4987|0.356804|0.595371
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|zstd|false|true|1783546|13050|1770496|1.665|1518|1.17451|1.95556
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|zstd|false|false|1783546|13050|1770496|1.665|1371|1.30006|2.16461
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|snappy|true|true|1782627|0|1782627|1.66586|4997|0.356678|0.594174
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|snappy|true|false|1783068|12572|1770496|1.66544|4619|0.386005|0.642869
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|snappy|false|true|1783546|13050|1770496|1.665|1422|1.25351|2.0871
Corporations/Corporations_1.csv|0|int|2969600|tinyblocks|512|false|snappy|false|false|1782627|0|1782627|1.66586|4743|0.375832|0.626082
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|true||||1901040|58000|1843040|1.56209|285|6.66104|10.4052
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false||||1901040|58000|1843040|1.56209|1458|1.30339|2.03601
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|lz4|true|true|1901040|58000|1843040|1.56209|1338|1.42052|2.21899
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|lz4|true|false|1889967|46927|1843040|1.57124|4455|0.424198|0.666519
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|lz4|false|true|1901040|58000|1843040|1.56209|1319|1.44103|2.25103
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|lz4|false|false|1901040|58000|1843040|1.56209|1315|1.44508|2.25735
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|zstd|true|true|1888680|0|1888680|1.57232|4480|0.421535|0.662785
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|zstd|true|false|1883767|40727|1843040|1.57642|4246|0.443625|0.699338
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|zstd|false|true|1900206|58000|1842206|1.56278|4180|0.454581|0.710409
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|zstd|false|false|1888680|0|1888680|1.57232|4260|0.44332|0.697039
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|snappy|true|true|1885752|0|1885752|1.57476|4592|0.410652|0.646677
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|snappy|true|false|1885989|42949|1843040|1.57456|4741|0.397738|0.626262
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|snappy|false|true|1901040|58000|1843040|1.56209|1391|1.36665|2.13483
Corporations/Corporations_1.csv|0|int|2969600|bitpacking|64|false|snappy|false|false|1885752|0|1885752|1.57476|4675|0.403355|0.635186
Corporations/Corporations_1.csv|0|int|2969600|delta|64|false||||2969605|5|2969600|0.999998|1546|1.92024|1.92024
