dataset|column|type|uncompressed_size|scheme|block_size|morsel|p2schema|p2header|p2payload|compressed_size|compressed_header|compressed_payload|compression_rate|decompression_time|decompression_bandwidth(compressed)|decompression_bandwidth(uncompressed)
PostLinks.csv|2|int|26058752|forn|128|false||||26516816|458064|26058752|0.982726|13287|1.99563|1.96116
PostLinks.csv|2|int|26058752|forn|256|true||||26287784|229032|26058752|0.991288|2189|12.0053|11.9007
PostLinks.csv|2|int|26058752|forn|256|false||||26287784|229032|26058752|0.991288|13068|2.01158|1.99406
PostLinks.csv|2|int|26058752|forn|512|true||||26173268|114516|26058752|0.995625|2019|12.9575|12.9008
PostLinks.csv|2|int|26058752|forn|512|false||||26173268|114516|26058752|0.995625|13716|1.90811|1.89976
PostLinks.csv|2|int|26058752|lz4|64|false||||0|0|0|inf|23|0|1107.33
PostLinks.csv|2|int|26058752|zstd|64|false||||23969577|0|23969577|1.08716|26674|0.89858|0.9769
PostLinks.csv|2|int|26058752|snappy|64|false||||26058299|0|26058299|1.00002|13260|1.96505|1.96508
PostLinks.csv|2|int|26058752|btrblocks|64|false||||22147592|0|22147592|1.1766|928231|0.02386|0.0280735
PostLinks.csv|2|int|26058752|uncompressed|64|true||||26058752|0|26058752|1|2590|10.0586|10.0586
PostLinks.csv|2|int|26058752|uncompressed|64|false||||26058752|0|26058752|1|14521|1.79449|1.79449
PostLinks.csv|3|int|26058752|tinyblocks|64|true||||21742800|916128|20826672|1.1985|3736|5.81827|6.9732
PostLinks.csv|3|int|26058752|tinyblocks|64|false||||21742800|916128|20826672|1.1985|15026|1.447|1.73423
PostLinks.csv|3|int|26058752|tinyblocks|128|true||||21971824|458064|21513760|1.18601|2046|10.7351|12.7319
PostLinks.csv|3|int|26058752|tinyblocks|128|false||||21971824|458064|21513760|1.18601|13758|1.59698|1.89403
PostLinks.csv|3|int|26058752|tinyblocks|256|true||||22183880|229032|21954848|1.17467|1975|11.2311|13.1929
PostLinks.csv|3|int|26058752|tinyblocks|256|false||||22183880|229032|21954848|1.17467|13932|1.59227|1.8704
PostLinks.csv|3|int|26058752|tinyblocks|512|true||||22101012|114516|21986496|1.17908|2097|10.5369|12.4238
PostLinks.csv|3|int|26058752|tinyblocks|512|false||||22101012|114516|21986496|1.17908|13360|1.65421|1.95044
PostLinks.csv|3|int|26058752|bitpacking|64|true||||22537152|508960|22028192|1.15626|3331|6.76488|7.82194
PostLinks.csv|3|int|26058752|bitpacking|64|false||||22537152|508960|22028192|1.15626|13749|1.63918|1.89531
PostLinks.csv|3|int|26058752|delta|64|false||||26058757|5|26058752|1|14565|1.78913|1.78913
PostLinks.csv|3|int|26058752|for|64|true||||26058757|5|26058752|1|2031|12.8269|12.8269
PostLinks.csv|3|int|26058752|for|64|false||||26058757|5|26058752|1|13110|1.98758|1.98757
PostLinks.csv|3|int|26058752|rle|64|false||||19930548|4|19930544|1.30748|22445|0.887971|1.161
PostLinks.csv|3|int|26058752|forn|64|true||||25787104|916128|24870976|1.01053|2097|12.2933|12.4228
PostLinks.csv|3|int|26058752|forn|64|false||||25787104|916128|24870976|1.01053|13548|1.90337|1.92342
PostLinks.csv|3|int|26058752|forn|128|true||||26240336|458064|25782272|0.99308|2013|13.0321|12.9419
PostLinks.csv|3|int|26058752|forn|128|false||||26240336|458064|25782272|0.99308|13128|1.99869|1.98486
PostLinks.csv|3|int|26058752|forn|256|true||||26287272|229032|26058240|0.991307|2235|11.7569|11.6547
PostLinks.csv|3|int|26058752|forn|256|false||||26287272|229032|26058240|0.991307|13218|1.98863|1.97134
PostLinks.csv|3|int|26058752|forn|512|true||||26173268|114516|26058752|0.995625|2043|12.8084|12.7524
PostLinks.csv|3|int|26058752|forn|512|false||||26173268|114516|26058752|0.995625|13056|2.00456|1.99579
PostLinks.csv|3|int|26058752|lz4|64|false||||12809003|0|12809003|2.03441|20721|0.61816|1.25759
PostLinks.csv|3|int|26058752|zstd|64|false||||9715250|0|9715250|2.68225|31637|0.307081|0.823669
PostLinks.csv|3|int|26058752|snappy|64|false||||12521166|0|12521166|2.08118|86093|0.145436|0.302679
PostLinks.csv|3|int|26058752|btrblocks|64|false||||21198110|0|21198110|1.2293|518482|0.0408849|0.0502596
PostLinks.csv|3|int|26058752|uncompressed|64|true||||26058752|0|26058752|1|2529|10.3034|10.3034
PostLinks.csv|3|int|26058752|uncompressed|64|false||||26058752|0|26058752|1|14785|1.76249|1.76249
PostLinks.csv|4|int|26058752|tinyblocks|64|true||||2524224|916128|1608096|10.3235|2380|1.06052|10.9483
PostLinks.csv|4|int|26058752|tinyblocks|64|false||||2524224|916128|1608096|10.3235|13467|0.187426|1.93489
PostLinks.csv|4|int|26058752|tinyblocks|128|true||||2082672|458064|1624608|12.5122|801|2.59695|32.4935
PostLinks.csv|4|int|26058752|tinyblocks|128|false||||2082672|458064|1624608|12.5122|11884|0.17525|2.19276
PostLinks.csv|4|int|26058752|tinyblocks|256|true||||1857704|229032|1628672|14.0274|656|2.82763|39.6643
PostLinks.csv|4|int|26058752|tinyblocks|256|false||||1857704|229032|1628672|14.0274|11830|0.157027|2.20268
PostLinks.csv|4|int|26058752|tinyblocks|512|true||||1743188|114516|1628672|14.9489|554|3.14325|46.9882
PostLinks.csv|4|int|26058752|tinyblocks|512|false||||1743188|114516|1628672|14.9489|11593|0.150363|2.24777
PostLinks.csv|4|int|26058752|bitpacking|64|true||||2137632|508960|1628672|12.1905|1944|1.09924|13.4002
PostLinks.csv|4|int|26058752|bitpacking|64|false||||2137632|508960|1628672|12.1905|11470|0.186357|2.27178
PostLinks.csv|4|int|26058752|delta|64|false||||6514693|5|6514688|4|12823|0.508047|2.03219
PostLinks.csv|4|int|26058752|for|64|true||||6514693|5|6514688|4|787|8.27095|33.0838
