cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
4432737365.64, 14519702.51,    0.00, 14522327744.50, 269812.67,     862.08,    1082218.35, 1016487890.00,     1, 3.28, 1.00, 4.36 , 4.12831, 13.525
4437195623.46, 13568484.83,    0.00, 14506426456.49, 277371.33,     249.11,    1107047.76, 1003765899.00,     1, 3.27, 1.00, 4.42 , 4.13246, 13.5102
4437361219.24, 13482821.56,    0.00, 14501835766.24, 267696.87,     319.13,    1113946.48, 1003765609.00,     1, 3.27, 1.00, 4.42 , 4.13261, 13.5059
4432905789.01, 13302743.91,    0.00, 14507861352.14, 283218.43,     215.35,    1132444.59, 999541100.00,     1, 3.27, 1.00, 4.43 , 4.12847, 13.5115
4434523585.58, 12891281.20,    0.00, 14512633986.29, 264518.91,     194.53,    1076506.25, 995216630.00,     1, 3.27, 1.00, 4.46 , 4.12997, 13.5159
4435465741.07, 13129878.62,    0.00, 14503316476.78, 283589.03,     194.64,    1080765.09, 996204871.00,     1, 3.27, 1.00, 4.45 , 4.13085, 13.5073
4430746367.40, 13652366.40,    0.00, 14506294174.03, 265101.72,     443.55,    1082160.92, 1003980659.00,     1, 3.27, 1.00, 4.41 , 4.12645, 13.51
4435399892.27, 13546618.56,    0.00, 14505976006.95, 285517.43,     334.30,    1087422.65, 1004434405.00,     1, 3.27, 1.00, 4.42 , 4.13079, 13.5097
4431091898.05, 13008819.72,    0.00, 14517928930.23, 255109.43,     138.60,    1075382.06, 996778556.00,     1, 3.28, 1.00, 4.45 , 4.12678, 13.5209
4433826115.61, 13019190.13,    0.00, 14517575523.03, 280827.62,      57.40,    1075002.79, 997067223.00,     1, 3.27, 1.00, 4.45 , 4.12932, 13.5205
4452619343.06, 13215423.77,    0.00, 14491841371.33, 286666.20,     249.21,    1385059.80, 1000997436.00,     1, 3.25, 1.00, 4.45 , 4.14682, 13.4966
4436361912.39, 13860281.00,    0.00, 14498855313.63, 285902.54,     243.50,    1081786.57, 1003971095.00,     1, 3.27, 1.00, 4.42 , 4.13168, 13.5031
4432362412.36, 13223486.31,    0.00, 14515025881.56, 259467.74,      83.88,    1076677.09, 999635941.00,     1, 3.27, 1.00, 4.43 , 4.12796, 13.5182
4429977105.68, 13253398.41,    0.00, 14512017899.76, 283414.99,     303.69,    1078322.68, 997533078.00,     1, 3.28, 1.00, 4.44 , 4.12574, 13.5154
4436092361.23, 12938151.05,    0.00, 14502610793.30, 259913.34,      64.38,    1075082.85, 995057268.00,     1, 3.27, 1.00, 4.46 , 4.13143, 13.5066
4433489959.68, 13618914.70,    0.00, 14503793279.34, 285308.65,     175.13,    1079113.65, 1002307818.00,     1, 3.27, 1.00, 4.42 , 4.12901, 13.5077
4431243056.83, 13372753.63,    0.00, 14511012612.97, 259579.70,     295.48,    1082429.87, 1002085871.00,     1, 3.27, 1.00, 4.42 , 4.12692, 13.5144
4435467414.91, 13358354.15,    0.00, 14507768384.76, 283898.89,     110.56,    1078148.83, 1000625737.00,     1, 3.27, 1.00, 4.43 , 4.13085, 13.5114
4431611612.69, 12846718.22,    0.00, 14503654607.85, 258820.81,      65.82,    1079092.62, 994996065.00,     1, 3.27, 1.00, 4.45 , 4.12726, 13.5076
4433967647.61, 13040289.16,    0.00, 14515195607.36, 280116.93,     102.24,    1102983.59, 994452972.00,     1, 3.27, 1.00, 4.46 , 4.12945, 13.5183
4430867950.91, 12805824.08,    0.00, 14513530167.87, 258697.09,      85.42,    1078131.86, 994262181.00,     1, 3.28, 1.00, 4.46 , 4.12657, 13.5168
4436115715.62, 13594859.19,    0.00, 14501350557.41, 284778.63,     246.33,    1083178.64, 1003477842.00,     1, 3.27, 1.00, 4.42 , 4.13145, 13.5054
4436474995.29, 13556902.29,    0.00, 14503763100.34, 267354.68,     176.55,    1080049.62, 1001837766.00,     1, 3.27, 1.00, 4.43 , 4.13179, 13.5077
4432419413.30, 13076772.43,    0.00, 14514354782.42, 280522.23,      47.61,    1088843.88, 996646023.00,     1, 3.27, 1.00, 4.45 , 4.12801, 13.5175
4432155813.21, 12972289.40,    0.00, 14512751811.93, 259269.54,      57.37,    1081084.32, 996086737.00,     1, 3.27, 1.00, 4.45 , 4.12777, 13.5161
4431015390.24, 13081881.70,    0.00, 14515451554.88, 293124.25,     216.83,    1077312.61, 996031684.00,     1, 3.28, 1.00, 4.45 , 4.1267, 13.5186
4431335866.81, 13188302.63,    0.00, 14516887445.73, 274762.79,      55.97,    1075626.41, 1000435173.00,     1, 3.28, 1.00, 4.43 , 4.127, 13.5199
4431622226.79, 13060582.65,    0.00, 14507554828.54, 277972.55,     200.02,    1075721.81, 997580581.00,     1, 3.27, 1.00, 4.44 , 4.12727, 13.5112
4427543414.39, 12870712.21,    0.00, 14507682232.68, 271991.79,      48.97,    1072196.06, 993448812.00,     1, 3.28, 1.00, 4.46 , 4.12347, 13.5113
4433555872.68, 12850552.20,    0.00, 14504465273.07, 269894.57,     100.80,    1073518.92, 993995829.00,     1, 3.27, 1.00, 4.46 , 4.12907, 13.5083
4430658677.18, 12881352.27,    0.00, 14506494326.09, 277419.48,      64.37,    1073359.66, 993524633.00,     1, 3.27, 1.00, 4.46 , 4.12637, 13.5102
4431400009.77, 13256740.32,    0.00, 14511680397.83, 278770.40,     159.63,    1076572.32, 1001927132.00,     1, 3.27, 1.00, 4.42 , 4.12706, 13.5151
