cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2726206067.87, 7998966.05,    0.00, 10090528257.17, 150338.98,      79.82,   24939732.04, 611550475.00,     1, 3.70, 1.00, 4.46 , 2.53898, 9.39754
2758027950.07, 8431644.53,    0.00, 10083560903.52, 158537.76,      64.27,   25228243.31, 619637755.00,     1, 3.66, 1.00, 4.45 , 2.56861, 9.39105
2743082378.50, 8220131.76,    0.00, 10085726179.63, 159432.11,      55.90,   24998936.88, 620321594.00,     1, 3.68, 1.00, 4.42 , 2.55469, 9.39306
2743999678.51, 8129045.46,    0.00, 10106000105.02, 157745.47,      85.36,   24486305.72, 615688242.00,     1, 3.68, 1.00, 4.46 , 2.55555, 9.41195
2739740751.37, 8129759.74,    0.00, 10107316021.73, 151949.59,      27.99,   24825929.68, 616967994.00,     1, 3.69, 1.00, 4.44 , 2.55158, 9.41317
2737508997.54, 7939815.07,    0.00, 10105107233.55, 156500.91,      51.67,   24396672.77, 613105532.00,     1, 3.69, 1.00, 4.46 , 2.5495, 9.41111
2890994682.01, 8545050.19,    0.00, 10114870523.74, 171053.45,      61.52,   16876489.65, 649319095.00,     1, 3.50, 1.00, 4.45 , 2.69245, 9.42021
2903433918.48, 8401314.35,    0.00, 10140395228.93, 171982.87,      22.38,   16815723.05, 650503961.00,     1, 3.49, 1.00, 4.46 , 2.70403, 9.44398
2943580988.32, 8453786.60,    0.00, 10173780794.42, 167001.46,      16.82,   17845730.76, 658993387.00,     1, 3.46, 1.00, 4.47 , 2.74142, 9.47507
2196759003.37, 6471907.78,    0.00, 10248924943.03, 132394.12,     135.73,    1060063.42, 493331121.00,     1, 4.67, 1.00, 4.45 , 2.04589, 9.54506
2211464776.05, 6466215.52,    0.00, 10241593398.10, 137642.86,      39.11,    1062830.70, 495759978.00,     1, 4.63, 1.00, 4.46 , 2.05959, 9.53823
2194758713.99, 6711729.71,    0.00, 10262905550.40, 127881.53,      54.61,    1060450.76, 498224331.00,     1, 4.68, 1.00, 4.41 , 2.04403, 9.55808
2204052641.50, 6380032.10,    0.00, 10268162303.23, 129135.82,      87.98,    1060213.60, 493535049.00,     1, 4.66, 1.00, 4.47 , 2.05268, 9.56297
2198492893.64, 6645098.73,    0.00, 10213534415.24, 131915.07,      33.52,    1059661.94, 495775492.00,     1, 4.65, 1.00, 4.43 , 2.04751, 9.5121
2198663185.64, 6382983.69,    0.00, 10235656914.71, 136396.39,      15.40,    1061692.32, 492491403.00,     1, 4.66, 1.00, 4.46 , 2.04766, 9.5327
2202151571.31, 6421113.69,    0.00, 10247830160.25, 132893.98,      18.15,    1059916.47, 493254844.00,     1, 4.65, 1.00, 4.46 , 2.05091, 9.54404
2197336109.06, 6387536.32,    0.00, 10265801726.85, 128643.95,      18.20,    1057971.69, 492441928.00,     1, 4.67, 1.00, 4.46 , 2.04643, 9.56077
2194184103.27, 6391484.78,    0.00, 10252784027.89, 130221.16,       1.40,    1056805.85, 491603457.00,     1, 4.67, 1.00, 4.46 , 2.04349, 9.54865
2209108577.85, 6446653.56,    0.00, 10222830516.41, 135871.55,      33.50,    1063812.41, 495434699.00,     1, 4.63, 1.00, 4.46 , 2.05739, 9.52075
2202758201.31, 6430765.49,    0.00, 10262803486.91, 132586.24,      22.37,    1059690.29, 494590322.00,     1, 4.66, 1.00, 4.45 , 2.05148, 9.55798
2189941011.15, 6477056.04,    0.00, 10230266511.12, 128008.61,       1.40,    1061921.41, 490292675.00,     1, 4.67, 1.00, 4.47 , 2.03954, 9.52768
2201252960.58, 6815439.25,    0.00, 10256556864.97, 129430.21,     116.27,    1063003.39, 498878980.00,     1, 4.66, 1.00, 4.41 , 2.05008, 9.55216
2200030376.19, 6437645.46,    0.00, 10219371481.60, 135850.65,       4.20,    1059086.36, 493275880.00,     1, 4.65, 1.00, 4.46 , 2.04894, 9.51753
2186117343.00, 6473062.17,    0.00, 10218656514.37, 130073.97,      16.79,    1063380.22, 492216546.00,     1, 4.67, 1.00, 4.44 , 2.03598, 9.51687
2188129505.32, 6382542.12,    0.00, 10263613267.17, 126662.31,       7.00,    1059356.34, 489782451.00,     1, 4.69, 1.00, 4.47 , 2.03785, 9.55873
2194136217.11, 6368307.16,    0.00, 10240547948.17, 131778.67,      57.35,    1058498.49, 491684604.00,     1, 4.67, 1.00, 4.46 , 2.04345, 9.53725
2200639886.13, 6432627.16,    0.00, 10276200468.67, 137027.32,      55.86,    1061747.92, 494520880.00,     1, 4.67, 1.00, 4.45 , 2.04951, 9.57046
2197085727.98, 6369220.02,    0.00, 10227363473.05, 131148.13,      11.19,    1058993.23, 493227102.00,     1, 4.65, 1.00, 4.45 , 2.0462, 9.52497
2194620542.88, 6481350.02,    0.00, 10221021698.02, 130681.22,      11.19,    1065472.47, 492719864.00,     1, 4.66, 1.00, 4.45 , 2.0439, 9.51907
2207167473.29, 6584647.30,    0.00, 10253550155.21, 132964.42,     225.30,    1059154.89, 496753400.00,     1, 4.65, 1.00, 4.44 , 2.05558, 9.54936
2213472505.49, 6622687.82,    0.00, 10253710476.45, 136160.48,      11.22,    1060972.94, 497821650.00,     1, 4.63, 1.00, 4.45 , 2.06146, 9.54951
2742847617.50, 8337375.51,    0.00, 10093923267.47, 155364.24,     123.06,   24627074.96, 620640251.00,     1, 3.68, 1.00, 4.42 , 2.55448, 9.4007
