cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
706753722.60, 2996614.41,    0.00, 1600668946.75,  52364.65,      69.86,    1057777.92, 199050737.00,     1, 2.26, 1.00, 3.55 , 0.658216, 1.49074
730063756.40, 2526484.50,    0.00, 1583317730.99,  45899.10,      12.62,    1054544.68, 189278331.00,     1, 2.17, 1.00, 3.86 , 0.679925, 1.47458
730458346.01, 2551045.23,    0.00, 1649707224.22,  48396.47,      19.68,    1054613.30, 189728434.00,     1, 2.26, 1.00, 3.85 , 0.680292, 1.53641
722351053.79, 2795060.92,    0.00, 1568803909.39,  49472.85,     105.92,    1054825.39, 191558872.00,     1, 2.17, 1.00, 3.77 , 0.672742, 1.46106
726246369.45, 3286182.73,    0.00, 1699732376.26,  51688.57,     594.26,    1078864.71, 201796155.00,     1, 2.34, 1.00, 3.60 , 0.67637, 1.583
734349074.28, 3089754.69,    0.00, 1683524856.20,  45126.65,     457.47,    1057275.57, 202205822.00,     1, 2.29, 1.00, 3.63 , 0.683916, 1.5679
727306490.48, 3181272.08,    0.00, 1754004696.09,  48937.66,     600.05,    1061707.95, 200587711.00,     1, 2.41, 1.00, 3.63 , 0.677357, 1.63354
700300993.07, 3082095.28,    0.00, 1533967183.87,  42617.99,     338.83,    1057026.21, 192472598.00,     1, 2.19, 1.00, 3.64 , 0.652206, 1.42862
707387433.52, 3006057.39,    0.00, 1802399113.56,  46331.88,     784.69,    1056513.77, 197661463.00,     1, 2.55, 1.00, 3.58 , 0.658806, 1.67861
736483258.57, 3092618.27,    0.00, 1785619836.55,  42612.38,     837.16,    1055158.30, 205787012.00,     1, 2.42, 1.00, 3.58 , 0.685903, 1.66299
738914868.12, 3105102.46,    0.00, 1852897736.62,  46741.87,     537.34,    1055361.47, 206469557.00,     1, 2.51, 1.00, 3.58 , 0.688168, 1.72565
738859413.92, 3145266.95,    0.00, 1768826835.02,  45293.71,     487.17,    1056393.26, 206448157.00,     1, 2.39, 1.00, 3.58 , 0.688116, 1.64735
740523781.34, 3196512.55,    0.00, 1903359144.77,  50783.50,     446.16,    1056160.88, 205271151.00,     1, 2.57, 1.00, 3.61 , 0.689667, 1.77264
753093281.57, 3274249.89,    0.00, 1885528945.94,  52338.15,     378.55,    1056336.74, 208159494.00,     1, 2.50, 1.00, 3.62 , 0.701373, 1.75604
767246823.63, 3296633.54,    0.00, 1959166963.21,  53377.06,    1335.20,    1062005.07, 213466108.00,     1, 2.55, 1.00, 3.59 , 0.714554, 1.82462
705832204.73, 2956037.57,    0.00, 1467856164.18,  52567.68,     513.15,    1054261.61, 190568774.00,     1, 2.08, 1.00, 3.70 , 0.657357, 1.36705
740150464.50, 2941228.69,    0.00, 2003006577.26,  57585.34,      58.60,    1055788.92, 195304661.00,     1, 2.71, 1.00, 3.79 , 0.689319, 1.86545
767196868.96, 2952824.15,    0.00, 1990074482.20,  58401.09,      57.22,    1055658.36, 202330082.00,     1, 2.59, 1.00, 3.79 , 0.714508, 1.8534
790301036.35, 3080736.59,    0.00, 2055200994.71,  62354.96,     183.13,    1055178.04, 207876747.00,     1, 2.60, 1.00, 3.80 , 0.736025, 1.91406
757684623.33, 2812092.81,    0.00, 1969954797.09,  58188.99,      39.06,    1070081.02, 198003576.00,     1, 2.60, 1.00, 3.83 , 0.705649, 1.83466
794581522.68, 3017241.15,    0.00, 2103720511.85,  61169.31,     104.02,    1054487.24, 210829373.00,     1, 2.65, 1.00, 3.77 , 0.740012, 1.95924
790498954.81, 3161669.27,    0.00, 2086945446.75,  60385.07,      88.49,    1054051.55, 211711775.00,     1, 2.64, 1.00, 3.73 , 0.73621, 1.94362
816542475.02, 3072088.03,    0.00, 2151669200.87,  64451.07,      48.82,    1063559.39, 212522379.00,     1, 2.64, 1.00, 3.84 , 0.760464, 2.0039
742529498.71, 2935578.70,    0.00, 1937715878.86,  57623.79,     162.50,    1056091.28, 197542168.00,     1, 2.61, 1.00, 3.76 , 0.691534, 1.80464
801691985.18, 3015896.70,    0.00, 2206495802.59,  64808.38,      89.39,    1054988.53, 209498012.00,     1, 2.75, 1.00, 3.83 , 0.746634, 2.05496
822478555.67, 3168312.79,    0.00, 2185579220.90,  65507.69,     181.25,    1057202.94, 220167334.00,     1, 2.66, 1.00, 3.74 , 0.765993, 2.03548
831562372.01, 3195134.71,    0.00, 2256970188.09,  71526.36,     158.72,    1055891.80, 218415205.00,     1, 2.71, 1.00, 3.81 , 0.774453, 2.10197
824638432.04, 3042346.51,    0.00, 2171378281.58,  67782.70,      44.50,    1056136.46, 215542386.00,     1, 2.63, 1.00, 3.83 , 0.768004, 2.02225
843400042.23, 3008037.17,    0.00, 2302306733.93,  69798.99,      64.42,    1056342.38, 219373547.00,     1, 2.73, 1.00, 3.84 , 0.785477, 2.14419
837682815.29, 3083293.45,    0.00, 2285750867.07,  70132.76,     243.13,    1059350.03, 218706104.00,     1, 2.73, 1.00, 3.83 , 0.780153, 2.12877
858232495.72, 3086154.95,    0.00, 2358460369.90,  72304.49,      43.36,    1053800.69, 223804868.00,     1, 2.75, 1.00, 3.83 , 0.799291, 2.19649
857092068.30, 3035640.15,    0.00, 2355755999.16,  70500.48,      16.69,    1053775.65, 222516081.00,     1, 2.75, 1.00, 3.85 , 0.798229, 2.19397
