cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
771224199.52, 3350413.51,    0.00, 1620607536.18,  57754.25,     546.67,    1109320.55, 205810234.00,     1, 2.10, 1.00, 3.75 , 0.718259, 1.50931
771825733.83, 3274612.26,    0.00, 1617766253.30,  55591.42,     563.05,    1066879.70, 208507828.00,     1, 2.10, 1.00, 3.70 , 0.718819, 1.50666
772234632.10, 3300594.86,    0.00, 1617935317.96,  58774.43,     708.58,    1079555.43, 207186355.00,     1, 2.10, 1.00, 3.73 , 0.7192, 1.50682
773330759.75, 3131669.18,    0.00, 1620138924.25,  56644.77,     487.50,    1077852.30, 204278206.00,     1, 2.10, 1.00, 3.79 , 0.72022, 1.50887
779393170.98, 3593164.06,    0.00, 1613048822.67,  64424.95,     746.19,    1218854.27, 208154838.00,     1, 2.07, 1.00, 3.74 , 0.725866, 1.50227
771354053.97, 3300942.72,    0.00, 1617913529.36,  55144.59,     576.94,    1073632.01, 207865422.00,     1, 2.10, 1.00, 3.71 , 0.718379, 1.5068
770394462.39, 3003766.34,    0.00, 1617787186.62,  57785.95,     444.99,    1060549.81, 201619137.00,     1, 2.10, 1.00, 3.82 , 0.717486, 1.50668
771408229.79, 2842609.03,    0.00, 1615710336.09,  52985.30,      40.37,    1055893.34, 200911442.00,     1, 2.09, 1.00, 3.84 , 0.71843, 1.50475
768734080.77, 2769148.19,    0.00, 1620037865.46,  53176.39,      66.88,    1054782.75, 200502500.00,     1, 2.11, 1.00, 3.83 , 0.715939, 1.50878
770157041.05, 2935189.94,    0.00, 1617050010.03,  53301.14,     200.09,    1056061.14, 203307738.00,     1, 2.10, 1.00, 3.79 , 0.717265, 1.506
768163428.20, 3291499.46,    0.00, 1621998151.26,  57373.02,     107.19,    1054355.78, 207896644.00,     1, 2.11, 1.00, 3.69 , 0.715408, 1.5106
769427987.61, 3104457.66,    0.00, 1615785379.61,  57128.46,     169.86,    1056848.51, 203600780.00,     1, 2.10, 1.00, 3.78 , 0.716586, 1.50482
769951254.21, 2720463.25,    0.00, 1617057715.90,  52563.91,      25.14,    1055117.10, 200152376.00,     1, 2.10, 1.00, 3.85 , 0.717073, 1.506
769200443.05, 2771617.66,    0.00, 1620105632.90,  53085.74,      50.19,    1053933.29, 200232230.00,     1, 2.11, 1.00, 3.84 , 0.716374, 1.50884
769405861.39, 2698191.15,    0.00, 1616528396.77,  53905.14,      64.01,    1055454.29, 200087776.00,     1, 2.10, 1.00, 3.85 , 0.716565, 1.50551
770163573.19, 2736920.31,    0.00, 1617398129.37,  52087.73,       5.56,    1054323.68, 200119208.00,     1, 2.10, 1.00, 3.85 , 0.717271, 1.50632
768506444.95, 2928162.43,    0.00, 1620744720.90,  52444.52,     118.63,    1066554.25, 200687837.00,     1, 2.11, 1.00, 3.83 , 0.715727, 1.50944
769769791.26, 2716860.38,    0.00, 1617608307.11,  51023.11,      26.41,    1053196.32, 199843412.00,     1, 2.10, 1.00, 3.85 , 0.716904, 1.50652
769055492.51, 2715332.93,    0.00, 1618885590.78,  48524.05,       6.95,    1052900.80, 199897151.00,     1, 2.11, 1.00, 3.85 , 0.716239, 1.5077
770790651.07, 2691696.15,    0.00, 1615801722.72,  51439.84,      16.69,    1054539.87, 199683409.00,     1, 2.10, 1.00, 3.86 , 0.717855, 1.50483
769834447.12, 2752554.61,    0.00, 1617570040.16,  48802.84,      73.79,    1054832.78, 200101133.00,     1, 2.10, 1.00, 3.85 , 0.716964, 1.50648
770568037.45, 2785268.17,    0.00, 1616564328.34,  52915.21,      16.68,    1056493.44, 200353138.00,     1, 2.10, 1.00, 3.85 , 0.717647, 1.50554
768890603.92, 2774970.26,    0.00, 1621055523.11,  50260.14,     195.11,    1059694.89, 200926442.00,     1, 2.11, 1.00, 3.83 , 0.716085, 1.50973
771380780.95, 2763252.64,    0.00, 1615708722.63,  50420.33,      25.09,    1054573.36, 200641652.00,     1, 2.09, 1.00, 3.84 , 0.718404, 1.50475
769613493.05, 2907571.03,    0.00, 1619085654.99,  47453.67,     103.74,    1056569.36, 203281789.00,     1, 2.10, 1.00, 3.79 , 0.716758, 1.50789
769545228.87, 2842227.98,    0.00, 1618222389.55,  50946.57,      64.23,    1053770.53, 202461095.00,     1, 2.10, 1.00, 3.80 , 0.716695, 1.50709
769127249.99, 2885107.60,    0.00, 1620382055.59,  49444.08,      91.64,    1052707.84, 200191615.00,     1, 2.11, 1.00, 3.84 , 0.716306, 1.5091
770257543.72, 2669057.56,    0.00, 1617078396.05,  51732.91,      41.88,    1055844.46, 199998481.00,     1, 2.10, 1.00, 3.85 , 0.717358, 1.50602
768894817.55, 2635305.57,    0.00, 1617890960.05,  47420.08,      96.34,    1054528.42, 199584744.00,     1, 2.10, 1.00, 3.85 , 0.716089, 1.50678
769242586.48, 2622931.08,    0.00, 1617554579.84,  51128.09,      12.59,    1054729.92, 199704584.00,     1, 2.10, 1.00, 3.85 , 0.716413, 1.50647
769598780.03, 2909169.59,    0.00, 1618921084.56,  48369.48,      32.20,    1053265.23, 203549167.00,     1, 2.10, 1.00, 3.78 , 0.716745, 1.50774
768974057.06, 2736104.63,    0.00, 1616013182.98,  52492.28,      34.82,    1057265.79, 200292947.00,     1, 2.10, 1.00, 3.84 , 0.716163, 1.50503
