cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
12339767893.96, 36557802.45,    0.00, 40494966710.04, 888784.27,     939.32,   21023283.05, 2775734231.00,     1, 3.28, 1.00, 4.45 , 11.4923, 37.7139
12581644971.27, 36438079.59,    0.00, 40676383570.38, 879424.26,     372.31,   24326202.22, 2822679396.00,     1, 3.23, 1.00, 4.46 , 11.7176, 37.8828
13011505146.03, 38170335.29,    0.00, 39627177054.27, 913781.30,     359.74,   25530081.49, 2927843293.00,     1, 3.05, 1.00, 4.44 , 12.1179, 36.9057
12589238634.56, 36586573.69,    0.00, 41096148808.22, 908196.30,     481.57,   23448912.66, 2829053048.00,     1, 3.26, 1.00, 4.45 , 11.7246, 38.2738
12434009460.12, 35647696.08,    0.00, 41043535860.76, 863372.97,     473.35,   20601394.81, 2786865394.00,     1, 3.30, 1.00, 4.46 , 11.5801, 38.2248
12535087699.72, 36401348.63,    0.00, 41235372063.06, 890486.78,     309.46,   21543403.16, 2815817051.00,     1, 3.29, 1.00, 4.45 , 11.6742, 38.4034
12876957767.17, 37148942.30,    0.00, 39476103691.98, 929635.31,     368.13,   21236073.23, 2888526850.00,     1, 3.07, 1.00, 4.46 , 11.9926, 36.765
12528882381.84, 36410360.39,    0.00, 41369551514.00, 921098.44,     243.57,   21045027.34, 2815757085.00,     1, 3.30, 1.00, 4.45 , 11.6684, 38.5284
12482106222.72, 36035980.81,    0.00, 41357114767.75, 893404.08,     144.13,   16555222.03, 2797693520.00,     1, 3.31, 1.00, 4.46 , 11.6249, 38.5168
12502948159.11, 36206583.70,    0.00, 41515475305.61, 913012.91,     337.45,   19136356.60, 2807820135.00,     1, 3.32, 1.00, 4.45 , 11.6443, 38.6643
12513678522.18, 36675418.84,    0.00, 41304015567.12, 931436.79,    1024.64,   18040319.72, 2809895424.00,     1, 3.30, 1.00, 4.45 , 11.6543, 38.4674
12493764047.80, 35997711.18,    0.00, 41667883265.46, 933060.73,     309.44,   17906720.46, 2800684915.00,     1, 3.34, 1.00, 4.46 , 11.6357, 38.8062
12642263981.40, 36870266.59,    0.00, 41647167549.50, 920336.47,     351.30,   19714234.63, 2839176479.00,     1, 3.29, 1.00, 4.45 , 11.774, 38.7869
12613620528.29, 36521784.89,    0.00, 41830202412.60, 940067.27,     201.62,   18932983.06, 2828338417.00,     1, 3.32, 1.00, 4.46 , 11.7473, 38.9574
11875552551.93, 34748975.09,    0.00, 38128423817.02, 901586.24,     317.81,   24585401.66, 2669532429.00,     1, 3.21, 1.00, 4.45 , 11.06, 35.5099
12589301584.77, 36105671.70,    0.00, 41987095608.65, 966735.36,     180.49,   16985661.52, 2819337615.00,     1, 3.34, 1.00, 4.47 , 11.7247, 39.1035
12475347936.79, 36470062.59,    0.00, 41990187385.35, 937862.78,     499.75,   11183390.56, 2802916084.00,     1, 3.37, 1.00, 4.45 , 11.6186, 39.1064
12544997256.82, 36178859.03,    0.00, 42177588019.29, 2327866.52,     153.95,   14503727.78, 2811138154.00,     1, 3.36, 1.00, 4.46 , 11.6834, 39.2809
12643110915.50, 37139014.02,    0.00, 41970960073.67, 2096554.79,     326.09,   17088008.38, 2841013177.00,     1, 3.32, 1.00, 4.45 , 11.7748, 39.0885
12785302124.53, 37258864.69,    0.00, 42362248391.51, 1239463.02,     152.58,   20252625.59, 2871169190.00,     1, 3.31, 1.00, 4.45 , 11.9072, 39.4529
12714759682.42, 36958374.65,    0.00, 42309231275.19, 972135.91,     282.81,   17415718.61, 2851215073.00,     1, 3.33, 1.00, 4.46 , 11.8415, 39.4035
12724118798.64, 37200002.41,    0.00, 42519258607.58, 1283981.31,     272.99,   14552921.99, 2862835075.00,     1, 3.34, 1.00, 4.44 , 11.8503, 39.5991
12474710491.24, 35937748.46,    0.00, 41761051498.57, 1199710.89,     194.55,   16460728.74, 2795918936.00,     1, 3.35, 1.00, 4.46 , 11.618, 38.893
12847830695.57, 37593102.44,    0.00, 42644180748.24, 1273363.41,     282.73,   17744240.00, 2886800508.00,     1, 3.32, 1.00, 4.45 , 11.9655, 39.7155
12712924617.73, 36837056.36,    0.00, 42625254977.56, 1234348.22,     309.42,   15063763.78, 2849820884.00,     1, 3.35, 1.00, 4.46 , 11.8398, 39.6979
13069036139.10, 38361318.47,    0.00, 42787857932.16, 2618376.95,     646.66,   19900550.60, 2935723632.00,     1, 3.27, 1.00, 4.45 , 12.1715, 39.8493
12883473777.88, 37914358.41,    0.00, 42576308126.44, 2505595.79,     988.28,   18334896.90, 2900059234.00,     1, 3.30, 1.00, 4.44 , 11.9987, 39.6523
13000884218.89, 37752066.29,    0.00, 42950199978.07, 1313796.95,    1477.45,   22651026.25, 2916913962.00,     1, 3.30, 1.00, 4.46 , 12.108, 40.0005
12950698132.79, 37999101.13,    0.00, 42927309369.80, 1405154.23,    1785.21,   16503436.48, 2912268509.00,     1, 3.31, 1.00, 4.45 , 12.0613, 39.9792
12909323266.51, 37273249.32,    0.00, 43096497380.33, 2715684.78,     629.79,   14745814.21, 2895123994.00,     1, 3.34, 1.00, 4.46 , 12.0227, 40.1367
11710763507.93, 34063479.29,    0.00, 37901931385.12, 2864151.85,     542.83,   18492813.45, 2630105169.00,     1, 3.24, 1.00, 4.45 , 10.9065, 35.2989
12381200245.27, 35171403.82,    0.00, 40499148492.69, 895779.01,    1109.14,   22254769.01, 2773110118.00,     1, 3.27, 1.00, 4.46 , 11.5309, 37.7178
