cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
3389319357.67, 11291861.38,    0.00, 8905993154.22, 218546.88,     360.62,    3195652.21, 880386908.00,     1, 2.63, 1.00, 3.85 , 3.15655, 8.29435
3396588983.38, 11294863.81,    0.00, 8925216531.10, 230300.50,     156.83,    3179899.98, 882094932.00,     1, 2.63, 1.00, 3.85 , 3.16332, 8.31226
3404470575.87, 11346655.90,    0.00, 9022578553.76, 214407.71,     239.22,    3292693.49, 886181139.00,     1, 2.65, 1.00, 3.84 , 3.17066, 8.40293
3408214632.15, 11101033.71,    0.00, 9027681282.76, 228999.21,     113.42,    3347262.03, 883019696.00,     1, 2.65, 1.00, 3.86 , 3.17415, 8.40768
3403605343.17, 11165209.15,    0.00, 9022317741.74, 220174.53,      60.14,    3244634.88, 881114925.00,     1, 2.65, 1.00, 3.86 , 3.16985, 8.40269
3407258483.22, 11103796.06,    0.00, 9027942931.99, 236266.43,     250.51,    3355478.01, 882824222.00,     1, 2.65, 1.00, 3.86 , 3.17326, 8.40793
3403505427.73, 11537308.38,    0.00, 9023543666.07, 216818.89,     293.84,    3253218.68, 888428553.00,     1, 2.65, 1.00, 3.83 , 3.16976, 8.40383
3408003803.15, 11457037.51,    0.00, 9027969304.51, 228465.77,     243.65,    3268669.31, 890013465.00,     1, 2.65, 1.00, 3.83 , 3.17395, 8.40795
3406865041.90, 11365725.57,    0.00, 9024198218.88, 222998.08,     255.94,    3344215.47, 885122358.00,     1, 2.65, 1.00, 3.85 , 3.17289, 8.40444
3405846471.24, 11219874.84,    0.00, 9026627508.07, 230991.46,     128.93,    3272961.08, 883231550.00,     1, 2.65, 1.00, 3.86 , 3.17194, 8.4067
3401399842.86, 11143249.56,    0.00, 9026851151.65, 214770.38,      92.42,    3204044.86, 883643477.00,     1, 2.65, 1.00, 3.85 , 3.1678, 8.40691
3405889804.25, 11046099.39,    0.00, 9026438250.54, 228368.18,     113.38,    3251045.31, 881843021.00,     1, 2.65, 1.00, 3.86 , 3.17198, 8.40653
3405165267.76, 11435685.89,    0.00, 9024438321.45, 221053.11,     125.90,    3335475.95, 886785124.00,     1, 2.65, 1.00, 3.84 , 3.17131, 8.40466
3406681376.06, 11276649.21,    0.00, 9027664808.67, 233219.05,      85.37,    3279981.27, 886008129.00,     1, 2.65, 1.00, 3.84 , 3.17272, 8.40767
3404483463.87, 11514248.45,    0.00, 9019504366.11, 219871.29,     296.75,    3209789.63, 885247555.00,     1, 2.65, 1.00, 3.85 , 3.17067, 8.40007
3405394824.63, 11081168.12,    0.00, 9027865354.55, 229007.05,      65.70,    3268760.02, 880616138.00,     1, 2.65, 1.00, 3.87 , 3.17152, 8.40785
3401758189.83, 10940870.78,    0.00, 9026446751.84, 216049.66,      39.16,    3239271.54, 879764957.00,     1, 2.65, 1.00, 3.87 , 3.16813, 8.40653
3405414789.77, 11396234.42,    0.00, 9023569158.24, 234943.10,     155.22,    3203584.23, 887525288.00,     1, 2.65, 1.00, 3.84 , 3.17154, 8.40385
3402188647.00, 10986538.02,    0.00, 9025834326.47, 215428.42,      85.23,    3227513.40, 879847414.00,     1, 2.65, 1.00, 3.87 , 3.16854, 8.40596
3405476979.22, 11169360.47,    0.00, 9020589425.78, 227619.76,      90.89,    3205661.77, 885268056.00,     1, 2.65, 1.00, 3.85 , 3.1716, 8.40108
3401993747.93, 11067809.58,    0.00, 9031604198.56, 218881.12,      41.95,    3343023.04, 881000280.00,     1, 2.65, 1.00, 3.86 , 3.16835, 8.41134
3407428662.92, 11076408.37,    0.00, 9023395347.22, 237426.72,      61.59,    3253065.22, 881827531.00,     1, 2.65, 1.00, 3.86 , 3.17342, 8.40369
3403291924.27, 10991849.14,    0.00, 9026449293.72, 213388.19,     114.63,    3251732.65, 880697552.00,     1, 2.65, 1.00, 3.86 , 3.16956, 8.40654
3407016982.44, 11343519.51,    0.00, 9028102279.18, 223445.92,     233.54,    3274163.18, 887507337.00,     1, 2.65, 1.00, 3.84 , 3.17303, 8.40808
3402139195.78, 11040805.09,    0.00, 9026708577.27, 220386.29,      82.59,    3275671.62, 882986799.00,     1, 2.65, 1.00, 3.85 , 3.16849, 8.40678
3406519613.97, 11016558.02,    0.00, 9025945750.03, 235284.03,      32.19,    3230362.97, 881614922.00,     1, 2.65, 1.00, 3.86 , 3.17257, 8.40607
3403944637.57, 11031877.57,    0.00, 9027069907.73, 214920.92,     141.25,    3291345.39, 881012258.00,     1, 2.65, 1.00, 3.86 , 3.17017, 8.40711
3405712867.70, 10951725.69,    0.00, 9030915653.18, 226956.83,      27.98,    3296205.27, 881258900.00,     1, 2.65, 1.00, 3.86 , 3.17182, 8.4107
3401417248.46, 11106879.63,    0.00, 9027295152.72, 221636.18,      36.36,    3237281.29, 880970210.00,     1, 2.65, 1.00, 3.86 , 3.16782, 8.40732
3408035693.92, 11334410.07,    0.00, 9024120708.15, 229565.93,     114.72,    3222005.54, 886441854.00,     1, 2.65, 1.00, 3.84 , 3.17398, 8.40437
3403875088.72, 11111810.63,    0.00, 9028874527.20, 214693.39,     109.13,    3300655.19, 884302680.00,     1, 2.65, 1.00, 3.85 , 3.17011, 8.40879
3406854630.18, 11125270.62,    0.00, 9030033890.32, 227097.24,      65.75,    3286413.98, 881313255.00,     1, 2.65, 1.00, 3.87 , 3.17288, 8.40987
