cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
2181517596.74, 6747839.92,    0.00, 10097223556.91, 141002.15,     535.31,    2648650.47, 491488846.00,     1, 4.63, 1.00, 4.44 , 2.0317, 9.40377
2217566358.61, 6783082.18,    0.00, 10202646172.77, 147358.90,     644.04,    1435651.06, 497302004.00,     1, 4.60, 1.00, 4.46 , 2.06527, 9.50195
2208057157.93, 7280043.65,    0.00, 10195753620.99, 133553.15,     547.43,    1066517.11, 506196452.00,     1, 4.62, 1.00, 4.36 , 2.05641, 9.49554
2206197792.34, 6967645.70,    0.00, 10205050722.66, 135367.43,     244.52,    1063117.06, 500409121.00,     1, 4.63, 1.00, 4.41 , 2.05468, 9.50419
2209033834.77, 7013661.01,    0.00, 10193991055.89, 132242.01,     286.71,    1064621.09, 503482334.00,     1, 4.61, 1.00, 4.39 , 2.05732, 9.49389
2202853637.48, 6873228.49,    0.00, 10218396744.55, 135869.45,     276.81,    1064254.60, 499073138.00,     1, 4.64, 1.00, 4.41 , 2.05157, 9.51662
2207023530.77, 7174581.17,    0.00, 10205076897.15, 150498.50,     376.91,    1063695.33, 506042299.00,     1, 4.62, 1.00, 4.36 , 2.05545, 9.50422
2203127070.37, 6809829.43,    0.00, 10211006543.25, 142526.34,    1158.01,    1061788.14, 497088946.00,     1, 4.63, 1.00, 4.43 , 2.05182, 9.50974
2205518586.55, 6928178.61,    0.00, 10218367615.15, 148399.94,     143.95,    1062021.14, 500839705.00,     1, 4.63, 1.00, 4.40 , 2.05405, 9.5166
2200784823.05, 6990537.73,    0.00, 10216332248.96, 144228.88,     668.47,    1061661.70, 497543161.00,     1, 4.64, 1.00, 4.42 , 2.04964, 9.5147
2206085132.80, 6835676.65,    0.00, 10209880061.79, 139469.99,      86.79,    1062887.00, 496929694.00,     1, 4.63, 1.00, 4.44 , 2.05458, 9.50869
2204945413.57, 6940975.21,    0.00, 10201939786.25, 133547.34,     125.98,    1063795.47, 499950388.00,     1, 4.63, 1.00, 4.41 , 2.05352, 9.5013
2206700251.28, 6773982.01,    0.00, 10216358071.35, 125889.16,     154.17,    1062799.24, 497966936.00,     1, 4.63, 1.00, 4.43 , 2.05515, 9.51472
2206556539.88, 7794726.11,    0.00, 10219574325.07, 141856.71,     255.51,    1062275.90, 509612876.00,     1, 4.63, 1.00, 4.33 , 2.05502, 9.51772
2208027808.07, 7297581.34,    0.00, 10194094645.43, 129978.87,     429.05,    1065720.32, 504900638.00,     1, 4.62, 1.00, 4.37 , 2.05639, 9.49399
2200449683.60, 6837739.72,    0.00, 10209439988.52, 145667.78,     292.33,    1062164.35, 496527206.00,     1, 4.64, 1.00, 4.43 , 2.04933, 9.50828
2207747679.51, 6681955.70,    0.00, 10208106309.15, 131734.51,      55.92,    1063030.18, 499175158.00,     1, 4.62, 1.00, 4.42 , 2.05613, 9.50704
2202791827.42, 6447598.22,    0.00, 10204185447.05, 139969.36,      43.35,    1061877.23, 494185929.00,     1, 4.63, 1.00, 4.46 , 2.05151, 9.50339
2204823785.91, 6562043.54,    0.00, 10201444475.99, 132458.04,     136.80,    1063040.95, 495331170.00,     1, 4.63, 1.00, 4.45 , 2.0534, 9.50084
2201890718.94, 6525591.40,    0.00, 10211639809.01, 141604.54,      33.50,    1061267.81, 493984497.00,     1, 4.64, 1.00, 4.46 , 2.05067, 9.51033
2204716287.37, 6576051.36,    0.00, 10210489872.75, 134732.42,      60.10,    1062959.12, 495168426.00,     1, 4.63, 1.00, 4.45 , 2.0533, 9.50926
2204440637.82, 6568832.84,    0.00, 10216050174.78, 143992.56,     226.30,    1061223.74, 494893307.00,     1, 4.63, 1.00, 4.45 , 2.05305, 9.51444
2206853693.37, 6620107.16,    0.00, 10207262449.64, 122337.33,      88.05,    1062738.80, 496130090.00,     1, 4.63, 1.00, 4.45 , 2.05529, 9.50625
2207316521.81, 6592406.29,    0.00, 10205140253.48, 130092.43,      19.57,    1062637.28, 496262856.00,     1, 4.62, 1.00, 4.45 , 2.05572, 9.50428
2204841123.70, 6769969.62,    0.00, 10211207207.42, 122356.87,      72.73,    1061754.32, 501432265.00,     1, 4.63, 1.00, 4.40 , 2.05342, 9.50993
2204354727.11, 6644240.35,    0.00, 10204331757.82, 130431.44,     139.64,    1064815.15, 494470736.00,     1, 4.63, 1.00, 4.46 , 2.05297, 9.50352
2205726062.34, 6719280.67,    0.00, 10208625928.30, 125295.52,      89.71,    1062860.45, 498066808.00,     1, 4.63, 1.00, 4.43 , 2.05424, 9.50752
2204067307.70, 6594816.55,    0.00, 10209660574.46, 128998.96,      13.97,    1061819.12, 494588707.00,     1, 4.63, 1.00, 4.46 , 2.0527, 9.50849
2204843123.52, 6620441.39,    0.00, 10216765600.78, 124380.82,     149.46,    1061429.69, 495773436.00,     1, 4.63, 1.00, 4.45 , 2.05342, 9.5151
2202689781.17, 6512000.57,    0.00, 10214362387.94, 129729.21,      18.19,    1061132.44, 494176513.00,     1, 4.64, 1.00, 4.46 , 2.05141, 9.51287
4081045505.92, 12007481.63,    0.00, 13701135861.22, 231735.49,     128.65,     231466.53, 915894855.00,     1, 3.36, 1.00, 4.46 , 3.80077, 12.7602
2191535770.03, 6530340.98,    0.00, 10097897489.75, 137908.33,      88.07,    2949137.17, 494004915.00,     1, 4.61, 1.00, 4.44 , 2.04103, 9.4044
