cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2488103808.09, 8133583.47,    0.00, 9331488839.06, 139640.62,     299.11,    5262386.52, 570809812.00,     1, 3.75, 1.00, 4.36 , 2.31723, 8.69063
2490857692.32, 8089029.14,    0.00, 9328844928.26, 135326.08,     224.95,    5266452.33, 565850547.00,     1, 3.75, 1.00, 4.40 , 2.31979, 8.68816
2487500509.92, 7578866.34,    0.00, 9333595767.86, 140760.71,      67.06,    5257617.98, 558761324.00,     1, 3.75, 1.00, 4.45 , 2.31667, 8.69259
2488028982.68, 7380856.40,    0.00, 9335347822.83, 136961.23,     217.92,    5263042.97, 558417817.00,     1, 3.75, 1.00, 4.46 , 2.31716, 8.69422
2489815676.84, 7856857.16,    0.00, 9332774569.12, 136770.38,     110.25,    5261450.51, 564817194.00,     1, 3.75, 1.00, 4.41 , 2.31882, 8.69182
2487757283.42, 7403345.86,    0.00, 9334595027.37, 128953.12,      78.19,    5258640.33, 558488532.00,     1, 3.75, 1.00, 4.45 , 2.3169, 8.69352
2486850832.28, 7693950.96,    0.00, 9336299719.06, 140623.18,     105.09,    5261840.90, 560861781.00,     1, 3.75, 1.00, 4.43 , 2.31606, 8.69511
2487372480.81, 7445117.86,    0.00, 9334710919.02, 137286.93,      90.79,    5262648.34, 558400651.00,     1, 3.75, 1.00, 4.45 , 2.31655, 8.69363
2486917680.24, 7573481.37,    0.00, 9341825400.94, 136376.64,      18.20,    5255707.93, 560075565.00,     1, 3.76, 1.00, 4.44 , 2.31612, 8.70025
2487267903.00, 7376051.34,    0.00, 9334160105.82, 128350.39,      23.78,    5258504.39, 557564815.00,     1, 3.75, 1.00, 4.46 , 2.31645, 8.69311
2488433205.97, 7576541.23,    0.00, 9336191136.59, 140477.52,     114.76,    5256455.83, 559790853.00,     1, 3.75, 1.00, 4.45 , 2.31753, 8.69501
2486196559.41, 7501277.99,    0.00, 9337470474.55, 135732.34,      33.51,    5261787.02, 558128567.00,     1, 3.76, 1.00, 4.45 , 2.31545, 8.6962
2487272435.84, 7427948.71,    0.00, 9333980975.91, 140315.98,      61.41,    5257458.06, 557838884.00,     1, 3.75, 1.00, 4.46 , 2.31645, 8.69295
2487293371.06, 7788531.49,    0.00, 9334892727.97, 130380.92,     238.95,    5260148.27, 563408862.00,     1, 3.75, 1.00, 4.41 , 2.31647, 8.6938
2487105419.53, 7361747.39,    0.00, 9332631453.04, 139799.94,      79.67,    5258168.08, 557756961.00,     1, 3.75, 1.00, 4.46 , 2.3163, 8.69169
2487541170.31, 7552394.16,    0.00, 9334617805.22, 132099.29,      30.84,    5258270.40, 560925390.00,     1, 3.75, 1.00, 4.43 , 2.3167, 8.69354
2485266709.86, 7368172.84,    0.00, 9337300272.76, 138122.13,      32.15,    5258030.45, 558243195.00,     1, 3.76, 1.00, 4.45 , 2.31458, 8.69604
2489094053.00, 7442273.24,    0.00, 9331825964.05, 128840.88,      13.97,    5260991.85, 558925761.00,     1, 3.75, 1.00, 4.45 , 2.31815, 8.69094
2487162012.10, 7377243.95,    0.00, 9332939487.34, 137915.15,      27.93,    5260726.43, 558509006.00,     1, 3.75, 1.00, 4.45 , 2.31635, 8.69198
2485718476.13, 7373720.47,    0.00, 9339316556.89, 134980.18,      12.58,    5254616.21, 558202767.00,     1, 3.76, 1.00, 4.45 , 2.31501, 8.69792
2486220877.88, 7443531.35,    0.00, 9336449059.20, 138454.57,      64.25,    5259986.01, 558118701.00,     1, 3.76, 1.00, 4.45 , 2.31547, 8.69525
2486410855.98, 7480214.41,    0.00, 9339478826.06, 130931.13,      85.28,    5259276.38, 559208863.00,     1, 3.76, 1.00, 4.45 , 2.31565, 8.69807
2489435809.00, 7932397.29,    0.00, 9330739518.17, 140634.10,     173.22,    5261893.76, 565746547.00,     1, 3.75, 1.00, 4.40 , 2.31847, 8.68993
2487963918.54, 7504560.87,    0.00, 9338794025.98, 135999.97,      48.91,    5257350.39, 558930916.00,     1, 3.75, 1.00, 4.45 , 2.3171, 8.69743
2487774459.68, 7535397.14,    0.00, 9339804739.11, 138603.06,      43.37,    5255143.33, 559581591.00,     1, 3.75, 1.00, 4.45 , 2.31692, 8.69837
2486209330.28, 7336153.67,    0.00, 9336684161.27, 127709.70,      36.31,    5260796.11, 557860701.00,     1, 3.76, 1.00, 4.46 , 2.31546, 8.69546
2488340534.14, 7431232.49,    0.00, 9328509988.73, 138543.77,      26.54,    5261393.40, 558062958.00,     1, 3.75, 1.00, 4.46 , 2.31745, 8.68785
2487707615.93, 7332996.46,    0.00, 9332813817.95, 136457.55,      19.55,    5261117.63, 558023258.00,     1, 3.75, 1.00, 4.46 , 2.31686, 8.69186
2488489464.41, 7393342.31,    0.00, 9326857958.92, 138602.09,      75.36,    5263859.35, 558181025.00,     1, 3.75, 1.00, 4.46 , 2.31759, 8.68631
2487010240.39, 7402413.35,    0.00, 9337701883.51, 126693.70,      16.78,    5258903.94, 558232190.00,     1, 3.75, 1.00, 4.46 , 2.31621, 8.69641
2487731303.77, 7316410.80,    0.00, 9335723547.22, 137262.06,      43.33,    5258153.69, 557563639.00,     1, 3.75, 1.00, 4.46 , 2.31688, 8.69457
2487533292.89, 7534328.30,    0.00, 9331598837.50, 135952.19,     138.62,    5262290.58, 563067605.00,     1, 3.75, 1.00, 4.42 , 2.3167, 8.69073
