cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
1994722667.53, 8044008.00,    0.00, 8960717982.09, 137596.64,    1136.42,    3683716.19, 536212984.00,     1, 4.49, 1.00, 3.72 , 1.85773, 8.34532
2041443975.34, 8022911.92,    0.00, 9078307326.38, 126719.49,    1410.59,    5756053.98, 556327355.00,     1, 4.45, 1.00, 3.67 , 1.90124, 8.45483
2029017004.37, 8154036.67,    0.00, 9083928410.57, 131824.56,    1843.48,    5775466.55, 562129896.00,     1, 4.48, 1.00, 3.61 , 1.88967, 8.46007
2021794965.79, 8129330.93,    0.00, 9083588269.49, 153636.64,     644.81,    5673890.36, 554401957.00,     1, 4.49, 1.00, 3.65 , 1.88294, 8.45975
2014156406.37, 7059796.55,    0.00, 9053657745.85, 122797.19,     682.28,    5752047.49, 525386097.00,     1, 4.50, 1.00, 3.83 , 1.87583, 8.43188
2013126205.10, 6870678.21,    0.00, 9041194284.15, 127721.97,     356.37,    5602096.18, 524029076.00,     1, 4.49, 1.00, 3.84 , 1.87487, 8.42027
2023009401.99, 6624795.60,    0.00, 9053242810.88, 133931.91,      50.30,    5826872.87, 522866298.00,     1, 4.48, 1.00, 3.87 , 1.88407, 8.43149
2397259636.37, 7769914.05,    0.00, 9064750576.84, 149795.90,     125.86,    3241481.24, 620050750.00,     1, 3.78, 1.00, 3.87 , 2.23262, 8.44221
2408642949.73, 7846059.07,    0.00, 9058521623.15, 162011.21,      18.21,    3171085.87, 623431823.00,     1, 3.76, 1.00, 3.86 , 2.24322, 8.43641
2399033601.92, 7793861.10,    0.00, 9063586133.34, 149006.24,      26.56,    3262029.63, 621366057.00,     1, 3.78, 1.00, 3.86 , 2.23427, 8.44112
2407589666.16, 7946396.51,    0.00, 9062100696.13, 162932.25,     107.79,    3183554.52, 624778458.00,     1, 3.76, 1.00, 3.85 , 2.24224, 8.43974
2397898806.41, 7705441.20,    0.00, 9062387987.35, 183151.36,     155.18,    3213403.36, 620124696.00,     1, 3.78, 1.00, 3.87 , 2.23322, 8.44001
2409534994.21, 8685924.20,    0.00, 9067431390.98, 170348.03,     490.91,    3228306.54, 636365669.00,     1, 3.76, 1.00, 3.79 , 2.24405, 8.4447
2402905702.72, 9963592.82,    0.00, 9060574848.26, 179337.28,    2906.49,    3314228.01, 663047042.00,     1, 3.77, 1.00, 3.62 , 2.23788, 8.43832
2409232440.25, 9199725.02,    0.00, 9062106996.05, 141913.07,    3283.29,    3199907.15, 660619684.00,     1, 3.76, 1.00, 3.65 , 2.24377, 8.43974
3442122194.23, 15214572.05,    0.00, 9057881500.36, 277921.12,    4819.82,    3245193.30, 950750981.00,     1, 2.63, 1.00, 3.62 , 3.20573, 8.43581
3442996157.22, 13243281.15,    0.00, 9056157813.52, 189357.94,    1609.59,    3310660.19, 946442807.00,     1, 2.63, 1.00, 3.64 , 3.20654, 8.4342
3437446296.81, 12722112.82,    0.00, 9058870170.04, 218692.83,     568.39,    3230346.44, 917687509.00,     1, 2.64, 1.00, 3.75 , 3.20137, 8.43673
3439890861.35, 11770499.74,    0.00, 9059239862.64, 240671.38,     593.46,    3237309.60, 897982384.00,     1, 2.63, 1.00, 3.83 , 3.20365, 8.43707
3440300740.96, 11395785.55,    0.00, 9057517939.92, 219042.45,     229.19,    3317075.66, 894367811.00,     1, 2.63, 1.00, 3.85 , 3.20403, 8.43547
3441949489.96, 12218188.05,    0.00, 9051625368.21, 247606.06,     269.96,    3242082.11, 902206063.00,     1, 2.63, 1.00, 3.82 , 3.20557, 8.42998
3435105748.44, 12088003.85,    0.00, 9063750773.51, 228228.34,     270.21,    3241581.84, 897534645.00,     1, 2.64, 1.00, 3.83 , 3.19919, 8.44128
3441825448.73, 12902388.48,    0.00, 9061155905.41, 273025.39,    2788.82,    3266343.59, 911536460.00,     1, 2.63, 1.00, 3.78 , 3.20545, 8.43886
3440583830.34, 11955961.00,    0.00, 9056572863.46, 247720.21,     454.31,    3259410.09, 899690253.00,     1, 2.63, 1.00, 3.82 , 3.20429, 8.43459
3444400389.87, 12862241.37,    0.00, 9046355877.13, 242648.07,    2316.04,    3259225.94, 941120579.00,     1, 2.63, 1.00, 3.66 , 3.20785, 8.42508
3449547591.04, 13181915.68,    0.00, 9047056963.73, 247455.93,    2586.28,    3325219.03, 953142425.00,     1, 2.62, 1.00, 3.62 , 3.21264, 8.42573
3441209449.05, 12461488.31,    0.00, 9052103397.05, 238316.65,    1598.25,    3216428.96, 933230705.00,     1, 2.63, 1.00, 3.69 , 3.20488, 8.43043
3440479197.59, 11379379.81,    0.00, 9057151667.05, 223155.35,     393.00,    3288200.17, 891282330.00,     1, 2.63, 1.00, 3.86 , 3.2042, 8.43513
3438305760.99, 11271982.83,    0.00, 9062220954.57, 239594.13,     116.19,    3204679.81, 891143208.00,     1, 2.64, 1.00, 3.86 , 3.20217, 8.43985
3437677099.61, 11593243.55,    0.00, 9062122937.92, 220469.66,     419.54,    3198514.57, 894990360.00,     1, 2.64, 1.00, 3.84 , 3.20159, 8.43976
3729565095.52, 13787646.22,    0.00, 11679265343.91, 263010.32,    2064.39,      84186.83, 995380570.00,     1, 3.13, 1.00, 3.75 , 3.47343, 10.8772
1967395753.36, 7495289.15,    0.00, 8973691905.04, 140497.51,    1061.32,    3726052.50, 529836953.00,     1, 4.56, 1.00, 3.71 , 1.83228, 8.3574
