cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2281090061.41, 8028991.07,    0.00, 10671354763.67, 134007.33,     795.97,    1063329.57, 533108861.00,     1, 4.68, 1.00, 4.28 , 2.12443, 9.93847
2256547906.52, 7201473.98,    0.00, 10666600407.54, 128170.19,     197.35,    1064168.02, 510832881.00,     1, 4.73, 1.00, 4.42 , 2.10157, 9.93405
2284510729.47, 7033847.59,    0.00, 10694304066.27, 132252.95,      89.50,    1060273.61, 517431121.00,     1, 4.68, 1.00, 4.42 , 2.12762, 9.95985
2260231216.82, 6746928.61,    0.00, 10663143430.33, 129843.96,      30.75,    1060896.75, 507131499.00,     1, 4.72, 1.00, 4.46 , 2.105, 9.93083
2282947638.36, 6952589.63,    0.00, 10664620409.10, 134196.49,      50.30,    1059070.68, 513779569.00,     1, 4.67, 1.00, 4.44 , 2.12616, 9.9322
2256618164.74, 6959111.50,    0.00, 10672611038.09, 122416.57,      86.78,    1062235.06, 512031844.00,     1, 4.73, 1.00, 4.41 , 2.10164, 9.93964
2297141766.34, 6982242.37,    0.00, 10649628909.64, 135737.54,      94.91,    1064519.79, 516357937.00,     1, 4.64, 1.00, 4.45 , 2.13938, 9.91824
2258751622.76, 6700559.06,    0.00, 10687601292.50, 127116.68,      19.59,    1060820.62, 506494867.00,     1, 4.73, 1.00, 4.46 , 2.10363, 9.9536
2286920312.00, 6904851.55,    0.00, 10656970574.21, 132735.26,      54.49,    1060334.94, 513649457.00,     1, 4.66, 1.00, 4.45 , 2.12986, 9.92508
2255974628.03, 6730843.23,    0.00, 10673989961.76, 124151.28,      37.74,    1062104.43, 506893174.00,     1, 4.73, 1.00, 4.45 , 2.10104, 9.94093
2275831982.57, 7191404.90,    0.00, 10688138348.00, 130318.16,     118.89,    1060168.10, 517509754.00,     1, 4.70, 1.00, 4.40 , 2.11953, 9.9541
2260726043.23, 6701997.96,    0.00, 10678321552.30, 129217.87,      23.78,    1059546.97, 507360026.00,     1, 4.72, 1.00, 4.46 , 2.10547, 9.94496
2278921330.29, 7013723.97,    0.00, 10686907552.96, 133163.38,      40.49,    1060372.77, 515117379.00,     1, 4.69, 1.00, 4.42 , 2.12241, 9.95296
2257107856.70, 6748858.58,    0.00, 10680637906.27, 123303.13,      36.42,    1060634.97, 506548499.00,     1, 4.73, 1.00, 4.46 , 2.1021, 9.94712
2285039471.30, 6899204.43,    0.00, 10680820573.51, 131763.90,      30.77,    1059420.55, 513140978.00,     1, 4.67, 1.00, 4.45 , 2.12811, 9.94729
2261761035.28, 6861628.33,    0.00, 10696886252.65, 126750.23,      18.19,    1058583.33, 508213690.00,     1, 4.73, 1.00, 4.45 , 2.10643, 9.96225
2289572288.79, 6965045.85,    0.00, 10675761087.33, 134655.92,     124.44,    1066112.51, 515036897.00,     1, 4.66, 1.00, 4.45 , 2.13233, 9.94258
2259467788.29, 6739343.81,    0.00, 10681644045.02, 120856.17,      29.36,    1058768.88, 507428144.00,     1, 4.73, 1.00, 4.45 , 2.10429, 9.94806
2285679545.68, 6907400.72,    0.00, 10652315179.49, 132901.93,      15.37,    1061425.16, 513208244.00,     1, 4.66, 1.00, 4.45 , 2.1287, 9.92074
2257629792.25, 7014568.90,    0.00, 10680071389.31, 127955.24,      98.10,    1061218.64, 512074731.00,     1, 4.73, 1.00, 4.41 , 2.10258, 9.94659
2292569530.13, 6828742.73,    0.00, 10679053598.50, 134971.94,      64.31,    1061177.96, 514631010.00,     1, 4.66, 1.00, 4.45 , 2.13512, 9.94564
2256083647.37, 6758371.44,    0.00, 10682404752.37, 123005.10,      78.29,    1061997.97, 508540970.00,     1, 4.73, 1.00, 4.44 , 2.10114, 9.94876
2280249199.90, 6842346.65,    0.00, 10691790289.30, 132404.28,      34.96,    1062094.09, 512738480.00,     1, 4.69, 1.00, 4.45 , 2.12365, 9.95751
2259642053.86, 6751305.81,    0.00, 10687703412.71, 128124.25,      18.17,    1058719.41, 507060966.00,     1, 4.73, 1.00, 4.46 , 2.10446, 9.9537
2289524537.62, 6948458.62,    0.00, 10681273485.53, 132976.01,      68.36,    1063782.46, 516075253.00,     1, 4.67, 1.00, 4.44 , 2.13229, 9.94771
2258318653.01, 6812310.43,    0.00, 10700022112.06, 126622.15,      15.37,    1059813.36, 509778825.00,     1, 4.74, 1.00, 4.43 , 2.10322, 9.96517
2291197023.85, 6944071.45,    0.00, 10670966015.01, 131854.35,      22.32,    1061333.18, 515752039.00,     1, 4.66, 1.00, 4.44 , 2.13384, 9.93811
2256110796.22, 6629909.09,    0.00, 10681725413.84, 129198.18,       6.98,    1059976.83, 507872158.00,     1, 4.73, 1.00, 4.44 , 2.10117, 9.94813
2288055478.35, 6906800.90,    0.00, 10678715259.88, 134302.02,      16.76,    1059005.97, 514734261.00,     1, 4.67, 1.00, 4.45 , 2.13092, 9.94533
2258645761.61, 7086872.58,    0.00, 10692979186.63, 121289.11,      75.56,    1061711.57, 513168286.00,     1, 4.73, 1.00, 4.40 , 2.10353, 9.95861
2278273663.79, 6901423.91,    0.00, 10695930447.71, 131050.62,      97.91,    1058532.14, 512732356.00,     1, 4.69, 1.00, 4.44 , 2.12181, 9.96136
2263026542.62, 6960936.18,    0.00, 10672483070.49, 129705.19,      43.43,    1060381.44, 511354670.00,     1, 4.72, 1.00, 4.43 , 2.10761, 9.93952
