cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
5769521615.32, 17434224.60,    0.00, 19680241778.13, 357264.41,     565.92,    1079378.66, 1303078065.00,     1, 3.41, 1.00, 4.43 , 5.37329, 18.3287
5797930640.71, 16744247.98,    0.00, 19762496003.24, 365670.04,     113.34,    1076668.72, 1301331336.00,     1, 3.41, 1.00, 4.46 , 5.39974, 18.4053
5871104139.57, 17096097.18,    0.00, 19894841151.74, 382578.44,     103.54,    1078424.60, 1318522908.00,     1, 3.39, 1.00, 4.45 , 5.46789, 18.5285
5976570838.22, 17665851.17,    0.00, 20217702409.47, 379409.52,     191.73,    1080022.21, 1347266295.00,     1, 3.38, 1.00, 4.44 , 5.56612, 18.8292
6175393924.55, 18025521.88,    0.00, 21143950349.23, 396733.95,     188.82,    2134909.02, 1389928439.00,     1, 3.42, 1.00, 4.44 , 5.75128, 19.6918
6501294079.52, 18581298.49,    0.00, 22148290758.66, 421587.98,      86.76,    2129861.02, 1458061847.00,     1, 3.41, 1.00, 4.46 , 6.0548, 20.6272
7201828334.19, 21045426.55,    0.00, 24643791207.40, 482379.03,     228.25,    4245671.17, 1619415058.00,     1, 3.42, 1.00, 4.45 , 6.70723, 22.9513
8536505557.40, 24476470.34,    0.00, 29674044086.49, 556077.33,     125.90,    6334008.40, 1916196104.00,     1, 3.48, 1.00, 4.45 , 7.95024, 27.6361
11075111584.90, 31557688.32,    0.00, 39716900501.38, 752941.57,     162.31,   10538861.10, 2481871564.00,     1, 3.59, 1.00, 4.46 , 10.3145, 36.9892
15927783762.27, 46124055.71,    0.00, 59777795144.83, 1066802.39,     253.39,   17901228.88, 3577680842.00,     1, 3.75, 1.00, 4.45 , 14.8339, 55.6724
15905811728.38, 45926449.98,    0.00, 59798254217.94, 1085053.14,     271.54,   17905166.04, 3573009966.00,     1, 3.76, 1.00, 4.45 , 14.8134, 55.6915
15928782729.70, 47613991.02,    0.00, 59771895217.53, 1063239.63,     818.97,   17910371.84, 3592057944.00,     1, 3.75, 1.00, 4.43 , 14.8348, 55.6669
15912805649.92, 46182294.57,    0.00, 59795901223.20, 1072586.35,     197.39,   17904006.49, 3577494235.00,     1, 3.76, 1.00, 4.45 , 14.82, 55.6893
15930034624.79, 46898181.71,    0.00, 59784528602.31, 1076196.02,     643.76,   17904524.10, 3588746194.00,     1, 3.75, 1.00, 4.44 , 14.836, 55.6787
15911503822.58, 46108702.96,    0.00, 59791704694.85, 1096754.72,     258.97,   17903386.40, 3572685895.00,     1, 3.76, 1.00, 4.45 , 14.8187, 55.6854
15924758331.72, 45612438.58,    0.00, 59794789357.45, 1059439.14,     162.37,   17899156.19, 3569270989.00,     1, 3.75, 1.00, 4.46 , 14.8311, 55.6882
15910889783.07, 46476357.95,    0.00, 59804232191.59, 1075759.07,     296.77,   17903267.57, 3579092903.00,     1, 3.76, 1.00, 4.45 , 14.8182, 55.697
15925848112.52, 46570662.44,    0.00, 59782282146.70, 1073520.38,     368.09,   17910159.23, 3579996738.00,     1, 3.75, 1.00, 4.45 , 14.8321, 55.6766
15911287818.86, 45741841.55,    0.00, 59793486896.76, 1093722.39,     275.85,   17907326.41, 3571626580.00,     1, 3.76, 1.00, 4.45 , 14.8185, 55.687
15922852673.32, 45682362.92,    0.00, 59794625637.17, 1061533.78,     246.33,   17901331.32, 3573254976.00,     1, 3.76, 1.00, 4.46 , 14.8293, 55.6881
15913376635.85, 46344010.44,    0.00, 59786358574.95, 1062192.15,     573.82,   17905758.27, 3575626998.00,     1, 3.76, 1.00, 4.45 , 14.8205, 55.6804
15927097532.28, 47313528.81,    0.00, 59790028036.01, 1074892.56,     626.92,   17908717.38, 3589401046.00,     1, 3.75, 1.00, 4.44 , 14.8333, 55.6838
15907811318.39, 46197674.53,    0.00, 59809189406.62, 1100166.59,     560.06,   17902675.79, 3570390799.00,     1, 3.76, 1.00, 4.46 , 14.8153, 55.7016
15920052702.54, 46622375.83,    0.00, 59809413903.72, 1060255.06,     298.27,   17899393.53, 3578342423.00,     1, 3.76, 1.00, 4.45 , 14.8267, 55.7019
15910849818.30, 47518485.01,    0.00, 59812769667.94, 1079170.57,     530.57,   17902950.72, 3586369791.00,     1, 3.76, 1.00, 4.44 , 14.8181, 55.705
15927254966.86, 47098288.86,    0.00, 59794768663.44, 1076548.19,     710.91,   17901159.34, 3587852808.00,     1, 3.75, 1.00, 4.44 , 14.8334, 55.6882
15909474172.78, 45843190.86,    0.00, 59805786731.39, 1099349.99,     299.60,   17903676.42, 3570186716.00,     1, 3.76, 1.00, 4.46 , 14.8169, 55.6985
15922509779.49, 46486257.18,    0.00, 59789696867.69, 1057395.45,    1068.42,   17903288.69, 3577694545.00,     1, 3.76, 1.00, 4.45 , 14.829, 55.6835
15907071836.03, 46481256.97,    0.00, 59814261807.64, 1069796.78,     386.39,   17897037.40, 3576899522.00,     1, 3.76, 1.00, 4.45 , 14.8146, 55.7064
15917888991.17, 46326782.28,    0.00, 59820739192.78, 1072198.76,     265.93,   17903676.71, 3575403056.00,     1, 3.76, 1.00, 4.45 , 14.8247, 55.7124
15908849037.12, 46804103.18,    0.00, 59798819855.07, 1105017.50,     366.74,   17903154.80, 3583403822.00,     1, 3.76, 1.00, 4.44 , 14.8163, 55.692
5762022079.12, 16941732.95,    0.00, 19641808363.97, 359753.33,     113.45,    1083693.65, 1296262598.00,     1, 3.41, 1.00, 4.45 , 5.3663, 18.2929
