cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
3662626196.94, 12379689.64,    0.00, 12033410494.91, 232416.21,     564.57,    1071417.59, 845447377.00,     1, 3.29, 1.00, 4.33 , 3.41109, 11.207
3653070439.31, 11050182.61,    0.00, 12030652997.38, 223978.07,     295.05,    1068853.43, 823808387.00,     1, 3.29, 1.00, 4.43 , 3.40219, 11.2044
3665530128.00, 10957134.65,    0.00, 12015127734.13, 231087.15,      68.51,    1069695.12, 824890128.00,     1, 3.28, 1.00, 4.44 , 3.41379, 11.19
3654313399.96, 10867616.95,    0.00, 12030151797.22, 232173.55,     113.34,    1073417.19, 822791884.00,     1, 3.29, 1.00, 4.44 , 3.40334, 11.204
3660404442.25, 10633904.70,    0.00, 12025585861.48, 227266.31,      50.40,    1067853.87, 821752305.00,     1, 3.29, 1.00, 4.45 , 3.40902, 11.1997
3649096737.08, 10707841.94,    0.00, 12033205533.89, 219023.97,     214.39,    1067662.62, 819738457.00,     1, 3.30, 1.00, 4.45 , 3.39849, 11.2068
3662869311.38, 11161171.21,    0.00, 12025428972.85, 231294.34,      95.20,    1068973.51, 826531965.00,     1, 3.28, 1.00, 4.43 , 3.41131, 11.1996
3651767567.33, 10706002.31,    0.00, 12026024790.77, 229421.78,     140.07,    1067862.73, 819767331.00,     1, 3.29, 1.00, 4.45 , 3.40097, 11.2001
3663927766.19, 10841922.75,    0.00, 12023342606.27, 228841.15,     104.92,    1074699.20, 825373940.00,     1, 3.28, 1.00, 4.44 , 3.4123, 11.1976
3651517397.48, 10660664.72,    0.00, 12031901075.69, 222303.31,      57.39,    1066895.22, 819915241.00,     1, 3.30, 1.00, 4.45 , 3.40074, 11.2056
3660282937.69, 10630396.68,    0.00, 12024021148.51, 231807.21,      20.97,    1067847.11, 822463854.00,     1, 3.28, 1.00, 4.45 , 3.4089, 11.1982
3652544742.50, 10488039.80,    0.00, 12028067962.75, 227065.73,      19.59,    1067462.94, 818678658.00,     1, 3.29, 1.00, 4.46 , 3.4017, 11.202
3659978036.21, 10852311.66,    0.00, 12023008425.03, 226834.94,      36.36,    1067946.88, 824337122.00,     1, 3.28, 1.00, 4.44 , 3.40862, 11.1973
3649649258.00, 10909720.10,    0.00, 12030428318.09, 220709.40,     276.89,    1072993.17, 822529890.00,     1, 3.30, 1.00, 4.44 , 3.399, 11.2042
3659774628.61, 10820902.33,    0.00, 12027819194.53, 229600.75,     107.70,    1068018.41, 825266317.00,     1, 3.29, 1.00, 4.43 , 3.40843, 11.2018
3654444480.33, 10796459.92,    0.00, 12015537530.59, 231830.35,      92.25,    1068248.81, 823749521.00,     1, 3.29, 1.00, 4.44 , 3.40347, 11.1903
3660616168.62, 10799954.32,    0.00, 12020527695.70, 225324.36,      22.37,    1067899.80, 823469794.00,     1, 3.28, 1.00, 4.45 , 3.40921, 11.195
3651680739.87, 10552725.24,    0.00, 12026999615.56, 218584.15,      25.21,    1067281.01, 819294549.00,     1, 3.29, 1.00, 4.46 , 3.40089, 11.201
3662507051.59, 10587132.45,    0.00, 12015989804.09, 231994.20,      43.37,    1073954.16, 822478189.00,     1, 3.28, 1.00, 4.45 , 3.41098, 11.1908
3649935601.60, 11022042.00,    0.00, 12030814701.34, 226484.17,     181.98,    1068894.26, 825866581.00,     1, 3.30, 1.00, 4.42 , 3.39927, 11.2046
3658878869.46, 10947440.06,    0.00, 12023291161.28, 227182.65,      43.36,    1067547.22, 824161250.00,     1, 3.29, 1.00, 4.44 , 3.4076, 11.1976
3651482524.70, 10754903.94,    0.00, 12034011450.66, 221630.88,      42.02,    1066998.15, 820334312.00,     1, 3.30, 1.00, 4.45 , 3.40071, 11.2075
3661000752.40, 10742270.49,    0.00, 12032137620.62, 231388.22,      33.57,    1067498.35, 822075097.00,     1, 3.29, 1.00, 4.45 , 3.40957, 11.2058
3652839732.97, 10551775.63,    0.00, 12024925645.16, 232498.70,      91.00,    1067907.24, 819341262.00,     1, 3.29, 1.00, 4.46 , 3.40197, 11.1991
3660272494.32, 10585425.03,    0.00, 12023699874.06, 227409.62,      58.81,    1067338.20, 821034286.00,     1, 3.28, 1.00, 4.46 , 3.40889, 11.1979
3652719283.47, 11011564.59,    0.00, 12020340661.09, 218592.58,     135.75,    1069108.98, 825642140.00,     1, 3.29, 1.00, 4.42 , 3.40186, 11.1948
3661134369.55, 10883816.16,    0.00, 12029000603.96, 230858.11,      91.06,    1068215.21, 826505888.00,     1, 3.29, 1.00, 4.43 , 3.4097, 11.2029
3651612584.48, 10588869.32,    0.00, 12026986131.26, 228330.91,      58.80,    1067239.19, 819630264.00,     1, 3.29, 1.00, 4.46 , 3.40083, 11.201
3656302227.38, 10593084.44,    0.00, 12029023481.18, 227877.25,      71.41,    1073100.56, 820331903.00,     1, 3.29, 1.00, 4.46 , 3.4052, 11.2029
3653249500.41, 10574701.84,    0.00, 12029444939.59, 218433.91,      42.00,    1067630.32, 819017304.00,     1, 3.29, 1.00, 4.46 , 3.40235, 11.2033
3657143876.03, 10661033.76,    0.00, 12026392230.28, 233391.03,      54.62,    1067424.57, 821326228.00,     1, 3.29, 1.00, 4.45 , 3.40598, 11.2005
3651205471.55, 10977575.71,    0.00, 12026314817.55, 227681.85,     127.16,    1068876.10, 824354819.00,     1, 3.29, 1.00, 4.43 , 3.40045, 11.2004
