cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
3395576893.96, 11680732.82,    0.00, 8911606771.67, 220891.03,     278.47,    3392405.70, 884534571.00,     1, 2.62, 1.00, 3.84 , 3.16238, 8.29958
3395324527.78, 11302052.08,    0.00, 8905030288.91, 203177.71,     356.85,    3299545.75, 881598612.00,     1, 2.62, 1.00, 3.85 , 3.16214, 8.29346
3392628767.07, 11624472.08,    0.00, 8908515447.77, 218084.69,     153.73,    3297532.20, 886050848.00,     1, 2.63, 1.00, 3.83 , 3.15963, 8.2967
3395282103.28, 11440068.06,    0.00, 8903857998.35, 216408.69,     151.06,    3324296.59, 880259077.00,     1, 2.62, 1.00, 3.86 , 3.1621, 8.29236
3390628362.91, 11169295.40,    0.00, 8912219366.41, 218654.08,      51.78,    3248509.84, 877544230.00,     1, 2.63, 1.00, 3.86 , 3.15777, 8.30015
3393388304.78, 11441507.81,    0.00, 8912172131.63, 196996.03,     162.46,    3298902.57, 884389571.00,     1, 2.63, 1.00, 3.84 , 3.16034, 8.30011
3395973614.66, 11447576.28,    0.00, 8910261541.08, 219214.53,     102.23,    3399597.09, 882591210.00,     1, 2.62, 1.00, 3.85 , 3.16275, 8.29833
3392863608.95, 11260253.74,    0.00, 8915244048.02, 213601.53,      57.32,    3389622.08, 880329281.00,     1, 2.63, 1.00, 3.85 , 3.15985, 8.30297
3390367317.02, 11083940.64,    0.00, 8908258726.89, 219924.59,      33.57,    3188939.79, 878110927.00,     1, 2.63, 1.00, 3.86 , 3.15753, 8.29646
3392571719.27, 11629751.17,    0.00, 8905984692.17, 205368.04,     212.59,    3283918.88, 884323794.00,     1, 2.63, 1.00, 3.84 , 3.15958, 8.29434
3396242680.01, 11753984.12,    0.00, 8909702315.86, 221897.12,     119.04,    3367919.37, 883275634.00,     1, 2.62, 1.00, 3.85 , 3.163, 8.29781
3393134032.99, 11762140.04,    0.00, 8913900647.14, 217595.84,     225.08,    3338222.89, 887740287.00,     1, 2.63, 1.00, 3.82 , 3.1601, 8.30172
3394167630.41, 11623178.23,    0.00, 8913866965.18, 222215.40,     245.09,    3339821.37, 882501182.00,     1, 2.63, 1.00, 3.85 , 3.16106, 8.30169
3399509314.08, 11330572.62,    0.00, 8907465208.03, 199056.47,      86.72,    3475003.05, 879776199.00,     1, 2.62, 1.00, 3.86 , 3.16604, 8.29572
3392510195.82, 11291189.96,    0.00, 8909323352.30, 216149.29,      49.00,    3266684.77, 878068371.00,     1, 2.63, 1.00, 3.86 , 3.15952, 8.29745
3394631072.04, 11105993.87,    0.00, 8907012835.62, 211091.92,      25.19,    3349321.33, 878304103.00,     1, 2.62, 1.00, 3.86 , 3.1615, 8.2953
3396648919.77, 11721145.94,    0.00, 8901742932.51, 221879.38,     121.66,    3329942.98, 885661125.00,     1, 2.62, 1.00, 3.84 , 3.16338, 8.29039
3396587951.96, 11350302.39,    0.00, 8906507705.12, 200290.75,      82.49,    3354549.99, 880819417.00,     1, 2.62, 1.00, 3.86 , 3.16332, 8.29483
3394968848.19, 11625653.91,    0.00, 8904348974.29, 220426.20,     107.85,    3247160.83, 883225490.00,     1, 2.62, 1.00, 3.84 , 3.16181, 8.29282
3393915898.04, 11210257.06,    0.00, 8910962969.44, 211166.69,     500.68,    3356336.70, 881081257.00,     1, 2.63, 1.00, 3.85 , 3.16083, 8.29898
3392277604.15, 11218794.86,    0.00, 8908957509.93, 218013.09,      78.27,    3269563.58, 878763130.00,     1, 2.63, 1.00, 3.86 , 3.1593, 8.29711
3396894533.99, 11557523.68,    0.00, 8911309259.23, 204391.27,     138.52,    3437638.29, 881464532.00,     1, 2.62, 1.00, 3.85 , 3.1636, 8.2993
3394358931.51, 11397305.12,    0.00, 8912588608.70, 216026.02,     208.65,    3370227.91, 883666375.00,     1, 2.63, 1.00, 3.84 , 3.16124, 8.30049
3395881867.53, 11529381.27,    0.00, 8903332989.25, 216773.66,     137.29,    3327001.49, 883505938.00,     1, 2.62, 1.00, 3.84 , 3.16266, 8.29188
3393807495.42, 11650173.85,    0.00, 8912389452.82, 222423.25,     254.41,    3274471.40, 886190649.00,     1, 2.63, 1.00, 3.83 , 3.16073, 8.30031
3395993671.94, 11661093.10,    0.00, 8906301344.18, 204412.81,     203.03,    3358431.15, 884753251.00,     1, 2.62, 1.00, 3.84 , 3.16277, 8.29464
3395633072.57, 11167051.80,    0.00, 8907503460.59, 216901.52,      85.23,    3364583.95, 879610381.00,     1, 2.62, 1.00, 3.86 , 3.16243, 8.29576
3390743091.86, 11447769.19,    0.00, 8916372068.70, 216227.50,      46.12,    3278394.58, 880177324.00,     1, 2.63, 1.00, 3.85 , 3.15788, 8.30402
3393545552.23, 11787050.52,    0.00, 8906846549.80, 218933.39,     229.16,    3238366.77, 886511245.00,     1, 2.62, 1.00, 3.83 , 3.16049, 8.29515
3392673658.07, 11559992.09,    0.00, 8911123351.47, 199678.68,      89.53,    3255036.66, 885504489.00,     1, 2.63, 1.00, 3.83 , 3.15967, 8.29913
3393547704.58, 11911315.55,    0.00, 8911944168.40, 217886.14,     282.97,    3289636.56, 889493926.00,     1, 2.63, 1.00, 3.82 , 3.16049, 8.29989
3394448399.70, 11573867.49,    0.00, 8910204940.67, 218198.99,     193.07,    3289702.47, 884267457.00,     1, 2.62, 1.00, 3.84 , 3.16133, 8.29828
