cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
3536594532.17, 11828392.60,    0.00, 9195649709.20, 199120.97,     823.51,    6310517.19, 814987436.00,     1, 2.60, 1.00, 4.34 , 3.29371, 8.56412
3538445145.88, 10765286.61,    0.00, 9186756329.22, 190295.61,     191.67,    6310518.98, 797424692.00,     1, 2.60, 1.00, 4.44 , 3.29543, 8.55583
3534200802.21, 10773637.33,    0.00, 9196569252.49, 195648.51,      92.44,    6309118.04, 798388515.00,     1, 2.60, 1.00, 4.43 , 3.29148, 8.56497
3536621273.52, 11089281.31,    0.00, 9192181436.38, 190619.86,     167.96,    6313733.62, 801603388.00,     1, 2.60, 1.00, 4.41 , 3.29374, 8.56089
3538098563.19, 10719031.30,    0.00, 9184051322.09, 193189.15,      47.54,    6312803.72, 797054687.00,     1, 2.60, 1.00, 4.44 , 3.29511, 8.55331
3533442178.78, 10431590.52,    0.00, 9195760136.40, 178562.26,      47.57,    6309586.37, 792528857.00,     1, 2.60, 1.00, 4.46 , 3.29077, 8.56422
3534384858.90, 10424283.95,    0.00, 9194333778.76, 194188.25,      75.53,    6309976.58, 794238381.00,     1, 2.60, 1.00, 4.45 , 3.29165, 8.56289
3535963592.42, 10428355.34,    0.00, 9189786095.09, 189132.51,     246.11,    6310878.21, 793682324.00,     1, 2.60, 1.00, 4.46 , 3.29312, 8.55866
3537087538.79, 10370673.64,    0.00, 9184702789.27, 195299.43,      83.98,    6313777.31, 792646981.00,     1, 2.60, 1.00, 4.46 , 3.29417, 8.55392
3536533467.78, 10656498.64,    0.00, 9187634622.21, 180407.79,      72.82,    6312832.73, 798182639.00,     1, 2.60, 1.00, 4.43 , 3.29365, 8.55665
3537943621.56, 10520481.64,    0.00, 9188331553.15, 195028.32,     135.62,    6310859.22, 794686168.00,     1, 2.60, 1.00, 4.45 , 3.29497, 8.5573
3536420307.73, 10646310.15,    0.00, 9189273884.91, 191312.19,     202.68,    6313997.25, 796701799.00,     1, 2.60, 1.00, 4.44 , 3.29355, 8.55818
3538453309.26, 10549266.41,    0.00, 9189157028.72, 195024.41,      95.18,    6311737.84, 793636940.00,     1, 2.60, 1.00, 4.46 , 3.29544, 8.55807
3533435021.86, 10584934.09,    0.00, 9196517297.53, 184290.29,      53.19,    6310212.82, 794676758.00,     1, 2.60, 1.00, 4.45 , 3.29077, 8.56492
3538315254.59, 10661568.56,    0.00, 9186393273.59, 196841.98,     176.12,    6310776.22, 796711654.00,     1, 2.60, 1.00, 4.44 , 3.29531, 8.5555
3534878044.91, 10538003.43,    0.00, 9190153094.37, 197714.14,      26.58,    6307190.61, 793776426.00,     1, 2.60, 1.00, 4.45 , 3.29211, 8.559
3535005545.43, 10875653.63,    0.00, 9192976278.16, 195737.58,     132.95,    6310106.38, 800232522.00,     1, 2.60, 1.00, 4.42 , 3.29223, 8.56163
3537022146.40, 10671312.12,    0.00, 9190314300.45, 184176.33,     151.21,    6310910.00, 798193385.00,     1, 2.60, 1.00, 4.43 , 3.29411, 8.55915
3534836991.40, 10408137.29,    0.00, 9188416829.90, 192179.41,      43.42,    6313620.29, 792766792.00,     1, 2.60, 1.00, 4.46 , 3.29207, 8.55738
3533783795.72, 10347394.04,    0.00, 9193475385.33, 196782.97,      82.67,    6306895.54, 792432538.00,     1, 2.60, 1.00, 4.46 , 3.29109, 8.56209
3535030071.61, 10591476.10,    0.00, 9189194781.49, 195607.59,     117.53,    6311072.10, 793489299.00,     1, 2.60, 1.00, 4.46 , 3.29225, 8.5581
3534848154.78, 10462470.82,    0.00, 9191212811.94, 187863.14,      95.18,    6312817.16, 794113103.00,     1, 2.60, 1.00, 4.45 , 3.29208, 8.55998
3536955274.24, 10781263.90,    0.00, 9191658531.59, 192980.46,      85.44,    6312349.50, 798936622.00,     1, 2.60, 1.00, 4.43 , 3.29405, 8.5604
3534702426.63, 10452870.05,    0.00, 9190878283.15, 191388.96,      76.92,    6309983.19, 794806859.00,     1, 2.60, 1.00, 4.45 , 3.29195, 8.55967
3535385826.07, 10414247.01,    0.00, 9192195826.72, 194625.85,      36.40,    6309561.17, 793344361.00,     1, 2.60, 1.00, 4.46 , 3.29258, 8.5609
3535848257.25, 10468707.19,    0.00, 9191342711.93, 184541.63,      76.93,    6315948.50, 793372537.00,     1, 2.60, 1.00, 4.46 , 3.29302, 8.5601
3533887871.61, 10321938.08,    0.00, 9195586055.20, 194725.73,      93.83,    6306651.63, 792911121.00,     1, 2.60, 1.00, 4.46 , 3.29119, 8.56406
3535292558.89, 10358698.11,    0.00, 9193866664.40, 194314.30,      54.60,    6304398.00, 793314325.00,     1, 2.60, 1.00, 4.46 , 3.2925, 8.56246
3531802372.26, 10736456.71,    0.00, 9198612499.00, 191820.64,      53.21,    6307259.75, 798439465.00,     1, 2.60, 1.00, 4.42 , 3.28925, 8.56688
3535476791.79, 10445756.06,    0.00, 9191211668.12, 183221.88,      96.59,    6307201.18, 793833301.00,     1, 2.60, 1.00, 4.45 , 3.29267, 8.55998
3537489433.01, 10519481.18,    0.00, 9184867565.72, 195718.05,      48.94,    6314482.81, 796083951.00,     1, 2.60, 1.00, 4.44 , 3.29454, 8.55407
3538493475.89, 10361688.64,    0.00, 9184523428.18, 193719.05,      53.17,    6312993.32, 793982918.00,     1, 2.60, 1.00, 4.46 , 3.29548, 8.55375
