cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
394398910.60, 1616581.04,    0.00, 728030020.00,  30825.19,     139.21,       4064.11, 104355932.00,     1, 1.85, 1.00, 3.78 , 0.367313, 0.678031
393345069.32, 1666926.17,    0.00, 758376404.98,  26131.72,      99.76,       3455.04, 106408380.00,     1, 1.93, 1.00, 3.70 , 0.366331, 0.706293
393747417.56, 1662342.01,    0.00, 721420941.00,  25047.31,     158.91,       3652.52, 109113348.00,     1, 1.83, 1.00, 3.61 , 0.366706, 0.671876
393999096.47, 1715779.22,    0.00, 783289902.13,  25795.89,     236.53,       3410.75, 108247798.00,     1, 1.99, 1.00, 3.64 , 0.36694, 0.729496
394293291.62, 1564700.42,    0.00, 778313789.99,  28995.15,      60.75,       3044.88, 103500344.00,     1, 1.97, 1.00, 3.81 , 0.367214, 0.724861
394028722.06, 1651526.66,    0.00, 806955170.69,  28142.43,      82.93,       3025.94, 105410515.00,     1, 2.05, 1.00, 3.74 , 0.366968, 0.751536
394133493.50, 1591501.52,    0.00, 702250363.18,  29340.59,      16.56,       2945.70, 103508310.00,     1, 1.78, 1.00, 3.81 , 0.367065, 0.654022
396765243.96, 1551057.29,    0.00, 831932023.42,  28759.47,     115.22,       3109.12, 105361847.00,     1, 2.10, 1.00, 3.77 , 0.369516, 0.774797
395124760.25, 1619516.66,    0.00, 827992749.05,  30198.57,      27.61,       3056.96, 103533095.00,     1, 2.10, 1.00, 3.82 , 0.367989, 0.771128
393360228.78, 1542610.53,    0.00, 860493415.56,  29435.60,      55.38,       4482.90, 103203072.00,     1, 2.19, 1.00, 3.81 , 0.366345, 0.801397
394409656.68, 1702979.97,    0.00, 818808201.80,  29324.13,      90.54,       3601.11, 107615716.00,     1, 2.08, 1.00, 3.66 , 0.367323, 0.762575
394062456.66, 1617160.32,    0.00, 885091995.16,  27920.15,      71.05,       3671.95, 108512327.00,     1, 2.25, 1.00, 3.63 , 0.366999, 0.824306
395461591.25, 1567609.66,    0.00, 877920967.69,  31794.13,     107.99,       3628.45, 103810676.00,     1, 2.22, 1.00, 3.81 , 0.368302, 0.817628
393928156.70, 1572976.83,    0.00, 908775321.44,  30846.38,      35.74,       2994.68, 103091586.00,     1, 2.31, 1.00, 3.82 , 0.366874, 0.846363
393978470.93, 1568900.88,    0.00, 670624637.19,  31161.15,      22.18,       3014.20, 103558021.00,     1, 1.70, 1.00, 3.80 , 0.366921, 0.624568
396109490.97, 1496703.04,    0.00, 927405942.39,  29662.58,      16.52,       2827.02, 103021131.00,     1, 2.34, 1.00, 3.84 , 0.368906, 0.863714
395602954.67, 1533721.16,    0.00, 924115714.60,  31130.47,      24.83,       2851.32, 103448621.00,     1, 2.34, 1.00, 3.82 , 0.368434, 0.86065
395082204.75, 1587350.97,    0.00, 954311320.04,  31694.67,      59.38,       2986.16, 103579543.00,     1, 2.42, 1.00, 3.81 , 0.367949, 0.888772
394152750.73, 1550314.52,    0.00, 917222981.13,  34160.06,     158.03,       3860.65, 103560640.00,     1, 2.33, 1.00, 3.81 , 0.367083, 0.85423
394110369.32, 1619695.49,    0.00, 980884128.60,  35899.37,      51.08,       3302.69, 103530623.00,     1, 2.49, 1.00, 3.81 , 0.367044, 0.91352
393951968.50, 1523877.22,    0.00, 976416394.73,  32408.76,      55.24,       3717.81, 103215507.00,     1, 2.48, 1.00, 3.82 , 0.366896, 0.909359
394754770.15, 1531387.62,    0.00, 1002592186.20,  35408.02,      24.81,       2843.97, 102616938.00,     1, 2.54, 1.00, 3.85 , 0.367644, 0.933737
394092370.80, 1530780.61,    0.00, 898412726.65,  33317.58,      15.19,       2964.13, 103123072.00,     1, 2.28, 1.00, 3.82 , 0.367027, 0.836712
394926141.48, 1514891.97,    0.00, 1029380930.62,  35314.81,      28.94,       2801.34, 102714291.00,     1, 2.61, 1.00, 3.84 , 0.367804, 0.958686
394891793.54, 1546686.40,    0.00, 1026231522.27,  32641.37,      19.32,       2938.42, 103495958.00,     1, 2.60, 1.00, 3.82 , 0.367772, 0.955753
394925560.24, 1521107.41,    0.00, 1054183725.73,  36729.15,      24.94,       3017.06, 103567512.00,     1, 2.67, 1.00, 3.81 , 0.367803, 0.981785
394508658.90, 1570463.99,    0.00, 1018526117.26,  35335.66,      82.69,       2938.12, 103354524.00,     1, 2.58, 1.00, 3.82 , 0.367415, 0.948576
395551167.81, 1592287.43,    0.00, 1079343005.87,  37818.87,      90.54,       2961.33, 104459639.00,     1, 2.73, 1.00, 3.79 , 0.368386, 1.00522
402032145.62, 1639612.46,    0.00, 1077434617.27,  36060.88,      68.61,       2990.34, 105383432.00,     1, 2.68, 1.00, 3.81 , 0.374422, 1.00344
406250642.44, 1549766.64,    0.00, 1104278930.56,  38563.12,      29.55,       2783.90, 105869358.00,     1, 2.72, 1.00, 3.84 , 0.37835, 1.02844
393589415.10, 1529297.23,    0.00, 594136461.01,  35017.09,      12.46,       2961.82, 103088634.00,     1, 1.51, 1.00, 3.82 , 0.366559, 0.553333
393706023.11, 1508104.72,    0.00, 727979793.15,  30040.11,       5.54,       2751.94, 102645135.00,     1, 1.85, 1.00, 3.84 , 0.366667, 0.677984
