cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz Cycles/Tuple, Instructions/Tuple
8683080957.26, 27548886.57,    0.00, 30525999742.85, 923159.99,    1992.32,    4178718.67, 1974770221.00,     1, 3.52, 1.00, 4.40 , 8.08675, 28.4296
8525939502.79, 25821345.19,    0.00, 29436789051.54, 1070597.28,     900.25,    9916598.99, 1925855364.00,     1, 3.45, 1.00, 4.43 , 7.9404, 27.4151
8283345826.42, 24512249.17,    0.00, 28454705439.91, 664880.21,     453.26,    2790157.99, 1866816563.00,     1, 3.44, 1.00, 4.44 , 7.71447, 26.5005
8852360229.92, 26153410.24,    0.00, 30434473653.54, 666710.58,     244.80,   11138860.31, 1993149664.00,     1, 3.44, 1.00, 4.44 , 8.2444, 28.3443
9200820820.99, 27243951.37,    0.00, 31318033188.48, 692847.87,     302.16,   13508150.92, 2069252739.00,     1, 3.40, 1.00, 4.45 , 8.56893, 29.1672
8416873499.50, 24344277.57,    0.00, 29488733654.01, 704705.88,     337.39,    4825871.71, 1889901412.00,     1, 3.50, 1.00, 4.45 , 7.83882, 27.4635
9139469309.76, 26397905.60,    0.00, 30697386582.41, 694399.21,     389.00,    9939733.93, 2049904073.00,     1, 3.36, 1.00, 4.46 , 8.51179, 28.5892
9271908556.33, 27193309.40,    0.00, 31931312562.75, 686554.15,     328.83,   11619199.61, 2090448474.00,     1, 3.44, 1.00, 4.44 , 8.63514, 29.7384
8915104748.46, 25781202.61,    0.00, 30849465831.78, 676912.40,     261.77,   10916543.09, 1998653787.00,     1, 3.46, 1.00, 4.46 , 8.30284, 28.7308
8793588675.75, 25740494.43,    0.00, 30432169763.78, 678705.16,     383.25,    8801040.03, 1978719924.00,     1, 3.46, 1.00, 4.44 , 8.18967, 28.3422
8914217099.19, 25788179.39,    0.00, 30483257167.79, 673316.12,     327.37,   11420064.89, 1999246954.00,     1, 3.42, 1.00, 4.46 , 8.30201, 28.3897
8556442945.08, 24808596.91,    0.00, 29535518051.25, 751170.72,     151.21,    7583676.68, 1918091012.00,     1, 3.45, 1.00, 4.46 , 7.96881, 27.5071
8504413146.75, 25051769.63,    0.00, 29885889620.29, 733939.45,     303.87,    4241427.86, 1911821340.00,     1, 3.51, 1.00, 4.45 , 7.92035, 27.8334
7776443718.38, 22699847.76,    0.00, 27099533005.40, 649960.87,     177.74,    5175048.99, 1746427718.00,     1, 3.48, 1.00, 4.45 , 7.24238, 25.2384
8249011306.17, 23982258.62,    0.00, 29254881614.46, 688797.28,     175.05,      56816.87, 1850020483.00,     1, 3.55, 1.00, 4.46 , 7.68249, 27.2457
8271085511.17, 24501261.17,    0.00, 29183862447.90, 705880.27,     256.26,    2337239.56, 1863698423.00,     1, 3.53, 1.00, 4.44 , 7.70305, 27.1796
9377598121.74, 26881341.53,    0.00, 31107510638.68, 713402.11,      89.60,   16069681.64, 2103508936.00,     1, 3.32, 1.00, 4.46 , 8.73357, 28.9711
8927718827.40, 26666164.64,    0.00, 30512041223.75, 708837.95,     310.60,   11048536.65, 2007666920.00,     1, 3.42, 1.00, 4.45 , 8.31459, 28.4166
9100647861.59, 26412310.82,    0.00, 30952223925.85, 728247.48,     334.46,   14534977.22, 2043145779.00,     1, 3.40, 1.00, 4.45 , 8.47564, 28.8265
8818048810.93, 25659625.18,    0.00, 29842941572.95, 744133.02,     593.12,   14219118.59, 1978560410.00,     1, 3.38, 1.00, 4.46 , 8.21245, 27.7934
8573153840.85, 25513006.48,    0.00, 29909462101.28, 734951.05,     369.36,    4750781.00, 1929813577.00,     1, 3.49, 1.00, 4.44 , 7.98437, 27.8554
8079287753.82, 24229757.40,    0.00, 28843007699.07, 665843.06,     372.13,     288505.10, 1818693329.00,     1, 3.57, 1.00, 4.44 , 7.52442, 26.8621
8936645713.05, 27129620.69,    0.00, 31149190619.62, 1766142.15,     839.84,    5885653.06, 2019307242.00,     1, 3.49, 1.00, 4.43 , 8.3229, 29.0099
8979994692.69, 28265474.21,    0.00, 31220825697.40, 745307.41,     743.39,    5271793.54, 2030603556.00,     1, 3.48, 1.00, 4.42 , 8.36327, 29.0767
8755785827.76, 26451935.72,    0.00, 30410767914.33, 1766232.59,     312.00,    4951311.36, 1972689986.00,     1, 3.47, 1.00, 4.44 , 8.15446, 28.3222
8696788794.50, 27233728.15,    0.00, 29975277920.09, 715172.89,     813.16,    7907742.83, 1973412324.00,     1, 3.45, 1.00, 4.41 , 8.09952, 27.9167
9069955178.76, 27137434.92,    0.00, 31154358256.93, 819623.53,     611.91,    6656530.63, 2044332613.00,     1, 3.43, 1.00, 4.44 , 8.44705, 29.0148
9379865776.66, 28712212.79,    0.00, 31357701190.42, 779748.28,    1042.31,   17281740.11, 2119082415.00,     1, 3.34, 1.00, 4.43 , 8.73568, 29.2041
8824725261.55, 26825416.79,    0.00, 30602370988.04, 764468.02,     513.84,    4876342.01, 1995148930.00,     1, 3.47, 1.00, 4.42 , 8.21867, 28.5007
8686389452.71, 27758361.08,    0.00, 29805418100.62, 866299.17,     955.13,    6975152.57, 1968064939.00,     1, 3.43, 1.00, 4.41 , 8.08983, 27.7585
8351312511.22, 25699429.97,    0.00, 28825343607.79, 740729.38,    1054.40,    7928939.99, 1890336876.00,     1, 3.45, 1.00, 4.42 , 7.77777, 26.8457
8549176149.36, 24448139.70,    0.00, 29177917840.29, 712368.02,     569.62,    9071751.86, 1915917899.00,     1, 3.41, 1.00, 4.46 , 7.96204, 27.1741
