cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
8254662581.24, 24006897.59,    0.00, 24982629863.28, 708959.01,     318.94,    7056277.67, 1859643812.00,     1, 3.03, 1.00, 4.44 , 7.68775, 23.2669
8296223338.49, 23712480.95,    0.00, 25299916517.86, 707048.33,      92.36,    6591010.11, 1858498007.00,     1, 3.05, 1.00, 4.46 , 7.72646, 23.5624
8336101776.18, 23751737.12,    0.00, 24641956472.60, 717478.57,      72.83,    3799948.03, 1869799153.00,     1, 2.96, 1.00, 4.46 , 7.7636, 22.9496
8346742196.40, 23861390.43,    0.00, 25463358688.40, 709606.56,     368.12,    4946386.29, 1875583908.00,     1, 3.05, 1.00, 4.45 , 7.77351, 23.7146
8220768798.70, 23542899.85,    0.00, 25205580886.82, 1693785.79,     295.13,    6925303.71, 1846260843.00,     1, 3.07, 1.00, 4.45 , 7.65619, 23.4745
8624156590.01, 25000427.44,    0.00, 25527182882.47, 744176.06,     162.42,   14238261.90, 1939220479.00,     1, 2.96, 1.00, 4.45 , 8.03187, 23.774
8320939680.64, 23835630.50,    0.00, 24577954277.00, 1678724.29,     177.65,    5100475.29, 1867024801.00,     1, 2.95, 1.00, 4.46 , 7.74948, 22.89
8415689615.07, 24302871.45,    0.00, 25590435118.31, 721285.34,     597.34,    7218985.17, 1886862131.00,     1, 3.04, 1.00, 4.46 , 7.83772, 23.8329
8266563595.74, 24320826.53,    0.00, 25343647815.47, 1854506.32,     304.91,    6165807.10, 1860199400.00,     1, 3.07, 1.00, 4.44 , 7.69884, 23.6031
8450146524.47, 24321837.66,    0.00, 25650866267.98, 737183.81,     156.78,    7573481.27, 1892936861.00,     1, 3.04, 1.00, 4.46 , 7.86981, 23.8892
8266513282.24, 24132266.34,    0.00, 25312904539.46, 740748.27,     158.24,    7179101.26, 1855724072.00,     1, 3.06, 1.00, 4.45 , 7.69879, 23.5745
8492183950.36, 24091291.74,    0.00, 25718298396.82, 1201890.13,     116.23,    8050331.69, 1904865067.00,     1, 3.03, 1.00, 4.46 , 7.90896, 23.952
8311330151.34, 23348910.93,    0.00, 25459822388.26, 1245081.72,     142.70,    6906037.81, 1860522466.00,     1, 3.06, 1.00, 4.47 , 7.74053, 23.7113
8507117027.55, 24444968.72,    0.00, 25779746022.05, 1510243.01,     131.61,    6156552.62, 1911098421.00,     1, 3.03, 1.00, 4.45 , 7.92287, 24.0093
7922665959.77, 22654720.04,    0.00, 24064527805.94, 712124.79,      79.75,    5879749.20, 1776826094.00,     1, 3.04, 1.00, 4.46 , 7.37856, 22.4118
8460168525.46, 24155222.91,    0.00, 25851051404.44, 777374.35,    1393.59,    6618645.47, 1895239573.00,     1, 3.06, 1.00, 4.46 , 7.87915, 24.0757
8387505921.54, 24259351.15,    0.00, 25608342045.53, 759334.62,     226.72,    6283294.77, 1885742937.00,     1, 3.05, 1.00, 4.45 , 7.81147, 23.8496
8522163436.01, 23942853.76,    0.00, 25939502378.89, 764382.82,     102.14,    6631482.33, 1908523899.00,     1, 3.04, 1.00, 4.47 , 7.93688, 24.158
8260883806.08, 23889958.54,    0.00, 25591701982.02, 748088.59,     881.43,    4237197.12, 1853792201.00,     1, 3.10, 1.00, 4.46 , 7.69355, 23.8341
8604082390.91, 24683204.95,    0.00, 26000440752.86, 794160.60,     158.13,    8699492.13, 1929780010.00,     1, 3.02, 1.00, 4.46 , 8.01318, 24.2148
8443857511.93, 23987802.03,    0.00, 25751914224.07, 775430.09,     116.19,    7631055.14, 1893525314.00,     1, 3.05, 1.00, 4.46 , 7.86396, 23.9833
8486186771.09, 24435542.18,    0.00, 26063518609.52, 752862.87,      96.59,    4207171.91, 1905116519.00,     1, 3.07, 1.00, 4.45 , 7.90338, 24.2735
8359315646.02, 23613446.67,    0.00, 25512129523.46, 800922.20,     114.76,    5696639.00, 1875317473.00,     1, 3.05, 1.00, 4.46 , 7.78522, 23.76
8568179647.46, 25070685.82,    0.00, 26118759025.75, 756873.88,     300.97,    6850570.71, 1933953883.00,     1, 3.05, 1.00, 4.43 , 7.97974, 24.325
8464948303.99, 24595219.54,    0.00, 25878830677.52, 828471.33,     627.26,    5706763.57, 1911631803.00,     1, 3.06, 1.00, 4.43 , 7.8836, 24.1015
8509773120.07, 24787822.24,    0.00, 26201719518.76, 735582.15,     352.62,    5301348.27, 1915145828.00,     1, 3.08, 1.00, 4.44 , 7.92534, 24.4023
8519530318.01, 25322233.70,    0.00, 25866892002.26, 788114.69,     611.80,    7558239.45, 1925844183.00,     1, 3.04, 1.00, 4.42 , 7.93443, 24.0904
8596918695.69, 25392802.59,    0.00, 26253198045.91, 759233.92,     249.00,    4948193.20, 1936769913.00,     1, 3.05, 1.00, 4.44 , 8.0065, 24.4502
8460348299.99, 24796996.81,    0.00, 26017891498.96, 791032.06,     342.77,    6205592.19, 1902656889.00,     1, 3.08, 1.00, 4.45 , 7.87931, 24.231
8739731523.43, 28178894.83,    0.00, 26328071612.99, 798743.11,    3660.34,    9470483.87, 2011495394.00,     1, 3.01, 1.00, 4.34 , 8.13951, 24.5199
7836533116.75, 26623417.05,    0.00, 23881002480.41, 790392.62,    8762.15,    3840568.81, 1868682147.00,     1, 3.05, 1.00, 4.19 , 7.29834, 22.2409
8322868441.08, 26347558.89,    0.00, 25212885251.20, 651769.89,    2911.41,    5866693.78, 1991484215.00,     1, 3.03, 1.00, 4.18 , 7.75128, 23.4813
