cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2636399790.43, 7877689.80,    0.00, 10647117536.51, 152119.46,     185.80,    1063791.51, 592496820.00,     1, 4.04, 1.00, 4.45 , 2.45534, 9.9159
2654205295.92, 7892609.14,    0.00, 10716100766.79, 157050.65,     105.02,    1063868.62, 597314599.00,     1, 4.04, 1.00, 4.44 , 2.47192, 9.98015
2636925819.44, 7582383.87,    0.00, 10732901802.66, 145429.20,      57.33,    1062717.71, 590752904.00,     1, 4.07, 1.00, 4.46 , 2.45583, 9.99579
2640065271.17, 7550081.32,    0.00, 10731705129.40, 160070.24,     296.24,    1062120.94, 592140361.00,     1, 4.06, 1.00, 4.46 , 2.45875, 9.99468
2638318877.31, 7946828.56,    0.00, 10726720778.75, 153179.10,     837.96,    1062640.11, 591926118.00,     1, 4.07, 1.00, 4.46 , 2.45713, 9.99004
2639673691.54, 7801570.02,    0.00, 10730988017.11, 154545.23,     565.31,    1063886.23, 592524142.00,     1, 4.07, 1.00, 4.45 , 2.45839, 9.99401
2636923503.46, 7610829.98,    0.00, 10726246002.40, 147502.74,      60.13,    1063555.42, 591086004.00,     1, 4.07, 1.00, 4.46 , 2.45583, 9.9896
2626535084.43, 7946077.01,    0.00, 10735077109.78, 155396.73,     155.26,    1064407.16, 596809502.00,     1, 4.09, 1.00, 4.40 , 2.44615, 9.99782
2625291641.49, 7633119.26,    0.00, 10726373278.61, 147621.80,      28.00,    1062732.55, 588418669.00,     1, 4.09, 1.00, 4.46 , 2.44499, 9.98971
2626197361.75, 7729494.73,    0.00, 10728833976.07, 152456.40,      46.16,    1063539.07, 591360263.00,     1, 4.09, 1.00, 4.44 , 2.44584, 9.99201
2624928559.36, 7584186.28,    0.00, 10730098536.82, 147359.30,      69.97,    1062527.27, 587684396.00,     1, 4.09, 1.00, 4.47 , 2.44466, 9.99318
2627371453.25, 7636712.52,    0.00, 10730168928.78, 159293.57,     107.79,    1064065.08, 589167367.00,     1, 4.08, 1.00, 4.46 , 2.44693, 9.99325
2626618627.10, 7717064.68,    0.00, 10725904668.27, 149429.74,      49.05,    1062739.18, 588616733.00,     1, 4.08, 1.00, 4.46 , 2.44623, 9.98928
2625476731.83, 7550057.81,    0.00, 10733408760.99, 152158.33,      16.81,    1062105.75, 588212737.00,     1, 4.09, 1.00, 4.46 , 2.44517, 9.99627
2624022794.34, 7706216.00,    0.00, 10730934761.08, 148115.06,      11.21,    1063052.60, 589050758.00,     1, 4.09, 1.00, 4.45 , 2.44381, 9.99396
2221496559.41, 6475774.97,    0.00, 10665848044.51, 134204.35,      14.02,    1060307.46, 497606844.00,     1, 4.80, 1.00, 4.46 , 2.06893, 9.93335
2206501146.74, 6808560.41,    0.00, 10665599081.16, 125346.40,      51.79,    1061462.50, 500389637.00,     1, 4.83, 1.00, 4.41 , 2.05496, 9.93311
2224649738.62, 6475595.96,    0.00, 10668042846.45, 129979.70,     155.41,    1060728.61, 498267907.00,     1, 4.80, 1.00, 4.46 , 2.07187, 9.93539
2206379091.48, 6683059.92,    0.00, 10664578572.38, 124862.77,      39.25,    1060993.06, 498918993.00,     1, 4.83, 1.00, 4.42 , 2.05485, 9.93216
2226954457.06, 6525743.54,    0.00, 10659940982.16, 134644.66,     309.35,    1068033.02, 500385628.00,     1, 4.79, 1.00, 4.45 , 2.07401, 9.92784
2209627811.43, 6645061.14,    0.00, 10654601799.65, 128348.19,      99.12,    1061700.87, 495587378.00,     1, 4.82, 1.00, 4.46 , 2.05788, 9.92287
2223713629.22, 6599893.31,    0.00, 10664707218.75, 131488.94,      82.52,    1061351.21, 500504453.00,     1, 4.80, 1.00, 4.44 , 2.07099, 9.93228
2208186958.38, 6623149.92,    0.00, 10654953520.91, 126487.98,      74.12,    1061312.10, 496424531.00,     1, 4.83, 1.00, 4.45 , 2.05653, 9.9232
2222865245.96, 6858389.35,    0.00, 10665358802.04, 137714.78,      85.25,    1062346.82, 500631557.00,     1, 4.80, 1.00, 4.44 , 2.0702, 9.93289
2207721899.20, 6431426.95,    0.00, 10656787041.61, 127204.67,      23.76,    1061827.03, 494498998.00,     1, 4.83, 1.00, 4.46 , 2.0561, 9.92491
2222670056.22, 6511128.04,    0.00, 10660741016.06, 128683.68,      34.99,    1060989.09, 497438996.00,     1, 4.80, 1.00, 4.47 , 2.07002, 9.92859
2209337381.62, 6859290.18,    0.00, 10663258771.03, 123668.25,     170.47,    1062819.85, 500855634.00,     1, 4.83, 1.00, 4.41 , 2.05761, 9.93093
2223901652.33, 6714390.30,    0.00, 10656059247.38, 131297.87,     148.32,    1062640.56, 499187741.00,     1, 4.79, 1.00, 4.46 , 2.07117, 9.92423
2206654629.12, 6727953.98,    0.00, 10661232040.29, 123869.08,      88.00,    1062242.80, 500169432.00,     1, 4.83, 1.00, 4.41 , 2.05511, 9.92905
2221913784.54, 6496861.70,    0.00, 10663323163.57, 126267.80,     229.94,    1060837.92, 497722060.00,     1, 4.80, 1.00, 4.46 , 2.06932, 9.93099
2206978265.60, 6910478.64,    0.00, 10664351547.93, 131261.69,     323.05,    1062602.09, 501646081.00,     1, 4.83, 1.00, 4.40 , 2.05541, 9.93195
2224872905.57, 7564189.00,    0.00, 10660703707.01, 136532.91,     531.94,    1063558.95, 511671165.00,     1, 4.79, 1.00, 4.35 , 2.07207, 9.92855
