cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
209267930.03, 894689.48,    0.00, 702366766.99,  15096.44,      12.34,       1614.69, 54841363.00,     1, 3.36, 1.00, 3.82 , 0.194896, 0.65413
209125094.81, 986231.37,    0.00, 702823738.19,  14747.25,      33.58,       1591.40, 55953082.00,     1, 3.36, 1.00, 3.74 , 0.194763, 0.654556
208815390.02, 961450.98,    0.00, 706635607.41,  16218.41,      43.75,       1758.25, 56438617.00,     1, 3.38, 1.00, 3.70 , 0.194474, 0.658106
210133662.19, 936981.64,    0.00, 701061168.78,  15630.14,      17.99,       1491.67, 55346748.00,     1, 3.34, 1.00, 3.80 , 0.195702, 0.652914
208843498.61, 955382.42,    0.00, 704167002.11,  15596.44,      62.06,       1648.88, 56419123.00,     1, 3.37, 1.00, 3.70 , 0.194501, 0.655807
208317595.39, 917746.35,    0.00, 701026893.48,  13028.31,     192.23,       1857.18, 57278133.00,     1, 3.37, 1.00, 3.64 , 0.194011, 0.652882
207984840.24, 946240.14,    0.00, 703508181.66,  13494.02,      89.00,       1700.48, 57399044.00,     1, 3.38, 1.00, 3.62 , 0.193701, 0.655193
208989664.03, 985502.48,    0.00, 702587736.50,  15742.96,     134.73,       1760.94, 56586117.00,     1, 3.36, 1.00, 3.69 , 0.194637, 0.654336
209645136.43, 942788.68,    0.00, 700645160.02,  16413.14,       5.55,       1733.80, 55491679.00,     1, 3.34, 1.00, 3.78 , 0.195247, 0.652527
209781664.52, 926254.36,    0.00, 703242420.85,  13657.23,      35.58,       1744.24, 57139634.00,     1, 3.35, 1.00, 3.67 , 0.195374, 0.654946
208873011.37, 948816.51,    0.00, 704070014.90,  16240.24,      22.26,       1689.18, 55652312.00,     1, 3.37, 1.00, 3.75 , 0.194528, 0.655716
210167004.07, 1012405.11,    0.00, 702512945.97,  17087.30,      18.07,       1839.62, 57058873.00,     1, 3.34, 1.00, 3.68 , 0.195733, 0.654266
209133415.58, 971999.27,    0.00, 703808546.42,  16521.88,      12.69,       1816.61, 56379367.00,     1, 3.37, 1.00, 3.71 , 0.194771, 0.655473
211314108.46, 951818.75,    0.00, 697434788.85,  15292.02,      49.89,       2718.95, 55412311.00,     1, 3.30, 1.00, 3.81 , 0.196802, 0.649537
207738649.11, 904953.71,    0.00, 701697468.34,  14511.83,      50.20,       1868.46, 55762802.00,     1, 3.38, 1.00, 3.73 , 0.193472, 0.653507
209503093.51, 885894.05,    0.00, 703248281.08,  15066.57,       0.00,       1785.12, 55075541.00,     1, 3.36, 1.00, 3.80 , 0.195115, 0.654951
209114275.23, 893349.82,    0.00, 701635743.10,  15213.76,       4.12,       1649.39, 54963560.00,     1, 3.36, 1.00, 3.80 , 0.194753, 0.653449
209643268.84, 890175.87,    0.00, 702305163.24,  15111.48,      11.06,       1569.77, 55312553.00,     1, 3.35, 1.00, 3.79 , 0.195246, 0.654073
208981372.05, 943651.72,    0.00, 704099124.18,  16427.14,      24.88,       1719.32, 55269738.00,     1, 3.37, 1.00, 3.78 , 0.194629, 0.655743
208469337.23, 885936.32,    0.00, 701314259.79,  15246.79,      17.83,       1586.60, 54805902.00,     1, 3.36, 1.00, 3.80 , 0.194152, 0.65315
208317729.88, 892760.23,    0.00, 704385448.51,  15687.98,      11.04,       1633.59, 55203001.00,     1, 3.38, 1.00, 3.77 , 0.194011, 0.65601
209226357.33, 929162.07,    0.00, 699339116.86,  15722.13,      12.46,       1665.44, 55370213.00,     1, 3.34, 1.00, 3.78 , 0.194857, 0.65131
207953838.62, 897151.72,    0.00, 705818513.57,  15700.97,       8.20,       1643.96, 54631570.00,     1, 3.39, 1.00, 3.81 , 0.193672, 0.657345
208214639.74, 888873.61,    0.00, 699696729.76,  15602.92,       9.58,       1610.72, 54725758.00,     1, 3.36, 1.00, 3.80 , 0.193915, 0.651643
211138481.53, 899875.46,    0.00, 700383413.63,  15385.14,      46.67,       1652.97, 54900769.00,     1, 3.32, 1.00, 3.85 , 0.196638, 0.652283
208870780.43, 919367.79,    0.00, 701511325.41,  14727.11,      30.20,       1708.41, 54898990.00,     1, 3.36, 1.00, 3.80 , 0.194526, 0.653333
208436887.18, 906888.21,    0.00, 702477433.17,  15412.54,      11.05,       1645.25, 55262789.00,     1, 3.37, 1.00, 3.77 , 0.194122, 0.654233
208350285.80, 910113.85,    0.00, 701521521.01,  16208.56,      11.00,       1664.35, 54984270.00,     1, 3.37, 1.00, 3.79 , 0.194041, 0.653343
209435733.39, 924510.80,    0.00, 706502859.51,  16080.80,       4.14,       1433.65, 55188541.00,     1, 3.37, 1.00, 3.79 , 0.195052, 0.657982
209980104.82, 925089.00,    0.00, 699639083.22,  14966.49,       5.55,       1562.07, 55447127.00,     1, 3.33, 1.00, 3.79 , 0.195559, 0.65159
209600009.25, 931605.83,    0.00, 699250710.77,  15770.32,       5.51,       1611.68, 55120188.00,     1, 3.34, 1.00, 3.80 , 0.195205, 0.651228
209021867.74, 937319.12,    0.00, 700707863.96,  15753.54,       0.00,       1407.92, 55158242.00,     1, 3.35, 1.00, 3.79 , 0.194667, 0.652585
