cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
2740073098.56, 8119155.63,    0.00, 10069491702.68, 148985.34,     156.94,    9460357.44, 616884597.00,     1, 3.67, 1.00, 4.44 , 2.55189, 9.37794
2750968715.20, 8004610.37,    0.00, 10084098870.34, 153069.15,      74.27,    9453512.00, 616744978.00,     1, 3.67, 1.00, 4.46 , 2.56204, 9.39155
2740049748.87, 7998725.49,    0.00, 10069254017.85, 155793.23,       8.39,    9454920.65, 613803778.00,     1, 3.67, 1.00, 4.46 , 2.55187, 9.37772
2751344709.35, 8106007.94,    0.00, 10088453521.00, 153634.74,      35.04,    9454304.02, 617451731.00,     1, 3.67, 1.00, 4.46 , 2.56239, 9.3956
2740972604.65, 7938643.79,    0.00, 10087889832.76, 147250.11,       9.78,    9451066.31, 613873454.00,     1, 3.68, 1.00, 4.47 , 2.55273, 9.39508
2749016502.12, 8011005.31,    0.00, 10086927328.09, 154348.16,     923.38,    9455178.29, 615566799.00,     1, 3.67, 1.00, 4.47 , 2.56022, 9.39418
2740262583.24, 8008815.51,    0.00, 10070205874.24, 160198.16,      58.68,    9458771.04, 614597802.00,     1, 3.67, 1.00, 4.46 , 2.55207, 9.37861
2763878348.29, 8433250.47,    0.00, 10061406265.82, 159097.40,      98.10,   10498131.95, 624791273.00,     1, 3.64, 1.00, 4.42 , 2.57406, 9.37041
2810780158.14, 8334004.23,    0.00, 10041272008.45, 159229.95,      62.93,   12601469.64, 631942042.00,     1, 3.57, 1.00, 4.45 , 2.61774, 9.35166
2731766788.55, 7969667.19,    0.00, 10007753158.67, 163887.45,      20.97,    9453961.38, 611414210.00,     1, 3.66, 1.00, 4.47 , 2.54416, 9.32045
2729018423.75, 7862072.07,    0.00, 10006936055.87, 169427.00,      12.59,    9457705.25, 611333571.00,     1, 3.67, 1.00, 4.46 , 2.5416, 9.31969
2729127139.30, 7896519.21,    0.00, 10008292778.69, 163958.58,      48.93,    9450812.20, 611204415.00,     1, 3.67, 1.00, 4.47 , 2.5417, 9.32095
2728692502.94, 7988111.04,    0.00, 10010562184.10, 158179.46,      33.58,    9457362.84, 612262697.00,     1, 3.67, 1.00, 4.46 , 2.54129, 9.32306
2728719805.70, 7811768.19,    0.00, 10012017778.01, 162369.73,       7.00,    9449769.73, 610885384.00,     1, 3.67, 1.00, 4.47 , 2.54132, 9.32442
2730824044.82, 7921454.03,    0.00, 10009242074.14, 166219.04,       5.59,    9457868.52, 611936687.00,     1, 3.67, 1.00, 4.46 , 2.54328, 9.32183
2730497653.24, 8275436.75,    0.00, 10008391238.14, 162820.58,     142.84,    9453879.20, 616743291.00,     1, 3.67, 1.00, 4.43 , 2.54297, 9.32104
2729709344.41, 7957595.67,    0.00, 10006077955.67, 159504.20,      18.17,    9453050.32, 614852855.00,     1, 3.67, 1.00, 4.44 , 2.54224, 9.31889
2730553608.99, 7874256.74,    0.00, 10007657109.09, 160895.98,       4.20,    9454997.04, 611006427.00,     1, 3.67, 1.00, 4.47 , 2.54303, 9.32036
2729684069.30, 7854143.26,    0.00, 10003185440.05, 165550.06,      13.99,    9463517.41, 611304869.00,     1, 3.66, 1.00, 4.47 , 2.54222, 9.31619
2730182231.02, 7965018.10,    0.00, 10007300411.54, 165225.77,      47.50,    9456826.25, 612293981.00,     1, 3.67, 1.00, 4.46 , 2.54268, 9.32002
2729229634.42, 7780530.37,    0.00, 10011473787.03, 156813.33,     214.22,    9453327.98, 611051118.00,     1, 3.67, 1.00, 4.47 , 2.54179, 9.32391
2730155471.07, 7879773.46,    0.00, 10006009708.03, 164131.35,      53.20,    9453436.10, 610821643.00,     1, 3.66, 1.00, 4.47 , 2.54266, 9.31882
2730446257.77, 7890286.39,    0.00, 10009582163.16, 166170.99,      15.39,    9457534.26, 611844716.00,     1, 3.67, 1.00, 4.46 , 2.54293, 9.32215
2728740386.83, 8192253.19,    0.00, 10009870946.90, 162775.17,     117.66,    9456900.04, 617376197.00,     1, 3.67, 1.00, 4.42 , 2.54134, 9.32242
2728216553.82, 7919909.58,    0.00, 10009345980.14, 159888.09,      39.13,    9450130.50, 612033995.00,     1, 3.67, 1.00, 4.46 , 2.54085, 9.32193
2727634830.72, 7958848.76,    0.00, 10013254354.11, 160266.46,      41.96,    9450934.56, 613623153.00,     1, 3.67, 1.00, 4.45 , 2.54031, 9.32557
2731723016.07, 8028797.81,    0.00, 10005945660.17, 167494.07,     143.95,    9462373.75, 612439593.00,     1, 3.66, 1.00, 4.46 , 2.54412, 9.31876
2729693303.21, 7995727.40,    0.00, 10008931023.16, 164579.22,      20.99,    9458982.82, 611701841.00,     1, 3.67, 1.00, 4.46 , 2.54222, 9.32154
2729141200.44, 7937060.87,    0.00, 10004886888.37, 160608.87,       9.80,    9453430.80, 611515259.00,     1, 3.67, 1.00, 4.46 , 2.54171, 9.31778
2731090735.99, 7849941.27,    0.00, 10009333028.56, 161438.58,       8.39,    9451788.30, 611166329.00,     1, 3.66, 1.00, 4.47 , 2.54353, 9.32192
2728197981.99, 7752697.33,    0.00, 10010699133.93, 167009.15,       7.01,    9456986.59, 610631348.00,     1, 3.67, 1.00, 4.47 , 2.54083, 9.32319
2743064236.18, 8223150.83,    0.00, 10071510553.31, 151445.05,      22.36,    9459837.19, 619576467.00,     1, 3.67, 1.00, 4.43 , 2.55468, 9.37983
