cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
396570132.82, 2085900.88,    0.00, 1012246081.77,  31552.01,     729.38,      19508.57, 108700242.00,     1, 2.55, 1.00, 3.65 , 0.369335, 0.942728
394085892.99, 1604172.13,    0.00, 1012927227.99,  27666.74,      61.97,       8710.75, 89502562.00,     1, 2.57, 1.00, 4.40 , 0.367021, 0.943362
392921121.46, 1461007.76,    0.00, 1009812827.86,  23969.44,     110.69,       8244.86, 89540948.00,     1, 2.57, 1.00, 4.39 , 0.365936, 0.940461
394700984.05, 1494538.97,    0.00, 1008382793.15,  28401.31,      68.95,       5745.63, 89620799.00,     1, 2.55, 1.00, 4.40 , 0.367594, 0.93913
394790034.51, 1436321.81,    0.00, 1012312034.61,  24805.45,      20.74,       9121.03, 89880587.00,     1, 2.56, 1.00, 4.39 , 0.367677, 0.942789
392467533.27, 1808889.54,    0.00, 1009075549.86,  31673.84,     488.69,      25952.92, 117905121.00,     1, 2.57, 1.00, 3.33 , 0.365514, 0.939775
396865912.32, 1638904.21,    0.00, 1018320782.71,  28308.06,     515.48,      61115.43, 91945903.00,     1, 2.57, 1.00, 4.32 , 0.36961, 0.948385
396065539.19, 1576905.46,    0.00, 1016060335.01,  29948.64,     147.96,      21392.24, 90718540.00,     1, 2.57, 1.00, 4.37 , 0.368865, 0.94628
392992783.62, 1422832.76,    0.00, 1010058450.57,  23793.23,      30.30,       4890.95, 89142630.00,     1, 2.57, 1.00, 4.41 , 0.366003, 0.94069
394967445.11, 1551785.79,    0.00, 1009693265.12,  28812.98,      91.61,      42914.43, 90209153.00,     1, 2.56, 1.00, 4.38 , 0.367842, 0.94035
405495276.53, 1597247.07,    0.00, 1013640395.34,  25368.62,    1392.76,     404237.84, 95077780.00,     1, 2.50, 1.00, 4.26 , 0.377647, 0.944026
394493233.68, 1562280.02,    0.00, 1014160777.40,  26820.85,     174.61,      45512.59, 91809085.00,     1, 2.57, 1.00, 4.30 , 0.3674, 0.944511
394091906.32, 1456646.17,    0.00, 1011830011.98,  23113.37,      34.50,      33913.35, 89599833.00,     1, 2.57, 1.00, 4.40 , 0.367027, 0.94234
394420458.75, 1520019.02,    0.00, 1010209555.57,  30025.43,      93.82,      20474.23, 91011512.00,     1, 2.56, 1.00, 4.33 , 0.367333, 0.940831
391490301.30, 1313094.28,    0.00, 1013428571.31,  23491.19,      19.45,       5326.38, 88585672.00,     1, 2.59, 1.00, 4.42 , 0.364604, 0.943829
392685184.16, 1434869.58,    0.00, 1011643434.73,  27241.31,      26.17,      15458.24, 89535957.00,     1, 2.58, 1.00, 4.39 , 0.365717, 0.942166
392044444.54, 1385855.87,    0.00, 1013149821.62,  23391.86,      23.45,       4977.00, 89023179.00,     1, 2.58, 1.00, 4.40 , 0.36512, 0.943569
393275506.75, 1438843.04,    0.00, 1009838409.53,  27033.15,      85.36,       3947.86, 89056263.00,     1, 2.57, 1.00, 4.42 , 0.366266, 0.940485
391147394.27, 1384488.45,    0.00, 1017517195.65,  23872.89,       9.62,       5163.45, 88888540.00,     1, 2.60, 1.00, 4.40 , 0.364284, 0.947637
392871198.97, 1346371.02,    0.00, 1010445213.05,  26759.14,      61.81,       3978.86, 89076435.00,     1, 2.57, 1.00, 4.41 , 0.36589, 0.94105
393149286.97, 1406427.71,    0.00, 1012007102.98,  24559.35,     117.90,      11882.97, 88896751.00,     1, 2.57, 1.00, 4.42 , 0.366149, 0.942505
392884438.21, 1567328.24,    0.00, 1010949952.61,  28082.00,     353.38,       4267.21, 89359833.00,     1, 2.57, 1.00, 4.40 , 0.365902, 0.941521
393081808.28, 1533333.56,    0.00, 1013288377.79,  24696.94,      71.62,      37643.03, 91271378.00,     1, 2.58, 1.00, 4.31 , 0.366086, 0.943698
392417155.15, 1351720.77,    0.00, 1012214532.50,  26028.64,      96.04,       5212.88, 89044144.00,     1, 2.58, 1.00, 4.41 , 0.365467, 0.942698
391588149.23, 1375961.42,    0.00, 1013916063.47,  23825.17,      50.07,       5211.77, 88943518.00,     1, 2.59, 1.00, 4.40 , 0.364695, 0.944283
392176153.36, 1348431.44,    0.00, 1012477073.79,  25853.10,      23.65,       5119.67, 88569386.00,     1, 2.58, 1.00, 4.43 , 0.365243, 0.942943
394364472.71, 1409723.34,    0.00, 1006576274.15,  25146.78,      24.71,      27951.27, 89214345.00,     1, 2.55, 1.00, 4.42 , 0.367281, 0.937447
391637465.22, 1384706.29,    0.00, 1011206416.07,  25602.00,      16.66,       5558.34, 89011531.00,     1, 2.58, 1.00, 4.40 , 0.364741, 0.941759
392186554.75, 1297199.58,    0.00, 1012178323.67,  22932.98,      18.07,       5040.29, 88396025.00,     1, 2.58, 1.00, 4.44 , 0.365252, 0.942665
392592355.89, 1420196.98,    0.00, 1012891888.49,  27428.39,      24.73,       3925.24, 89254957.00,     1, 2.58, 1.00, 4.40 , 0.36563, 0.943329
391324495.92, 1331726.84,    0.00, 1013762459.81,  23286.52,      19.46,       4986.40, 88780488.00,     1, 2.59, 1.00, 4.41 , 0.364449, 0.94414
394560789.82, 1337715.72,    0.00, 1010504185.35,  26994.11,      12.33,       5307.90, 89005343.00,     1, 2.56, 1.00, 4.43 , 0.367463, 0.941105
