cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple
7019873097.73, 21519462.27,    0.00, 28129734524.72, 596199.26,     464.50,    5475174.51, 1591943333.00,     1, 4.01, 1.00, 4.41 , 6.53777, 26.1979
7356768655.46, 22219171.51,    0.00, 29542275266.08, 591778.54,     387.70,    4753990.48, 1660163211.00,     1, 4.02, 1.00, 4.43 , 6.85152, 27.5134
7615997425.92, 22663979.14,    0.00, 29719013838.21, 1276266.29,    1587.44,    9714513.02, 1710664809.00,     1, 3.90, 1.00, 4.45 , 7.09295, 27.678
8033843339.01, 23139460.40,    0.00, 28800703716.82, 801062.95,     215.58,    6734679.04, 1802427592.00,     1, 3.58, 1.00, 4.46 , 7.4821, 26.8227
7485520849.62, 21949681.49,    0.00, 30074745432.17, 1385091.24,     544.39,    5112661.51, 1682602079.00,     1, 4.02, 1.00, 4.45 , 6.97143, 28.0093
7583653725.07, 22211521.28,    0.00, 30064180567.34, 621839.13,     604.37,    8572755.83, 1706725975.00,     1, 3.96, 1.00, 4.44 , 7.06283, 27.9995
7517090420.13, 22026871.07,    0.00, 30186660987.87, 1478897.70,     281.28,    5467190.51, 1690976977.00,     1, 4.02, 1.00, 4.45 , 7.00084, 28.1135
8018157719.58, 23262232.59,    0.00, 28658537370.45, 666938.59,     374.90,    4821245.32, 1804537047.00,     1, 3.57, 1.00, 4.44 , 7.46749, 26.6903
7520651225.05, 21964187.81,    0.00, 30349337319.82, 1314389.24,     145.55,    4448929.94, 1691000747.00,     1, 4.04, 1.00, 4.45 , 7.00415, 28.265
7542917986.77, 21904312.89,    0.00, 30321470930.22, 632545.84,     137.10,    5319590.21, 1692284631.00,     1, 4.02, 1.00, 4.46 , 7.02489, 28.2391
7624841797.04, 22467226.43,    0.00, 30460537146.84, 1434985.99,     331.63,    6196651.08, 1717904844.00,     1, 3.99, 1.00, 4.44 , 7.10119, 28.3686
7573893968.30, 23199636.77,    0.00, 30264108831.73, 700323.35,     452.13,    5982339.55, 1709227397.00,     1, 4.00, 1.00, 4.43 , 7.05374, 28.1856
7589998427.25, 22432355.43,    0.00, 30580882759.03, 1402432.61,     193.13,    4424198.99, 1705414504.00,     1, 4.03, 1.00, 4.45 , 7.06874, 28.4807
7727573971.82, 22976696.40,    0.00, 30566823531.09, 742282.89,     691.69,    8216667.01, 1743211022.00,     1, 3.96, 1.00, 4.43 , 7.19686, 28.4676
7751087281.49, 23350305.66,    0.00, 30724781395.05, 738051.55,    1377.01,    8930728.42, 1747761147.00,     1, 3.96, 1.00, 4.43 , 7.21876, 28.6147
6890418545.85, 20152581.07,    0.00, 27460319126.82, 608289.61,     233.72,    5244898.97, 1546455374.00,     1, 3.99, 1.00, 4.46 , 6.4172, 25.5744
7794039242.78, 24579307.00,    0.00, 30880808642.16, 1325328.59,     666.00,    7920149.16, 1767647137.00,     1, 3.96, 1.00, 4.41 , 7.25876, 28.76
7737472481.97, 23152484.35,    0.00, 30855996784.01, 690808.80,     397.53,    7296961.84, 1745515990.00,     1, 3.99, 1.00, 4.43 , 7.20608, 28.7369
7688494089.49, 23065910.83,    0.00, 31012074907.20, 1553405.19,     492.58,    5194000.87, 1733818794.00,     1, 4.03, 1.00, 4.43 , 7.16047, 28.8822
7746280944.09, 23206289.99,    0.00, 30812688117.44, 685344.87,     321.84,    7882167.32, 1749073927.00,     1, 3.98, 1.00, 4.43 , 7.21429, 28.6966
7912946676.38, 23494536.51,    0.00, 31141755946.63, 1297662.61,     267.37,   10514581.85, 1780615619.00,     1, 3.94, 1.00, 4.44 , 7.36951, 29.003
7816909357.86, 23458294.86,    0.00, 31120671053.16, 796959.18,     340.08,    7843989.80, 1761445355.00,     1, 3.98, 1.00, 4.44 , 7.28006, 28.9834
7775948670.14, 23110392.10,    0.00, 31290018874.25, 1704577.55,     579.66,    4570789.53, 1750467105.00,     1, 4.02, 1.00, 4.44 , 7.24192, 29.1411
7625613206.08, 22302435.26,    0.00, 30643132028.70, 735136.94,     187.56,    5117929.67, 1711238482.00,     1, 4.02, 1.00, 4.46 , 7.10191, 28.5386
7779361253.05, 23867161.12,    0.00, 31425116983.94, 1786303.01,     447.92,    4621030.82, 1758558405.00,     1, 4.04, 1.00, 4.42 , 7.24509, 29.2669
7821012682.76, 22987333.16,    0.00, 31387868375.22, 1120195.78,     303.79,    5969950.15, 1759091456.00,     1, 4.01, 1.00, 4.45 , 7.28389, 29.2322
7870199282.26, 23151313.87,    0.00, 31541362263.79, 1629118.73,     342.88,    5472989.25, 1766466189.00,     1, 4.01, 1.00, 4.46 , 7.32969, 29.3752
7812335491.22, 23497143.82,    0.00, 31347003927.12, 917936.59,     302.31,    6040961.82, 1760610308.00,     1, 4.01, 1.00, 4.44 , 7.2758, 29.1942
7872149341.28, 23043375.33,    0.00, 31664351710.48, 1776057.65,     317.66,    5538204.53, 1769040189.00,     1, 4.02, 1.00, 4.45 , 7.33151, 29.4897
7840491824.00, 22773263.15,    0.00, 31650958908.79, 680830.33,     159.64,    4781688.97, 1757399648.00,     1, 4.04, 1.00, 4.46 , 7.30203, 29.4773
7989773103.45, 24018745.55,    0.00, 31793930154.97, 1177611.59,     550.22,    6016387.79, 1799070456.00,     1, 3.98, 1.00, 4.44 , 7.44106, 29.6104
7955267751.63, 23387645.66,    0.00, 31815979594.15, 735886.14,     499.52,    5147935.78, 1790682391.00,     1, 4.00, 1.00, 4.44 , 7.40892, 29.6309
