cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple, Seconds, UC-Bandwidth(GB/s), C-Bandwidth(GB/s), Bit
103680683.66, 468858.09,    0.00, 301505134.23,   6158.89,       0.00,       1013.22, 26967185.00,     1, 2.91, 1.00, 3.84 , 0.19312, 0.561597, 0.0269513, 74.2079, 0, 1
52263082.86, 309541.61,    0.00, 165674727.63,   3288.17,      26.18,        475.27, 13772971.00,     1, 3.17, 1.00, 3.79 , 0.0973476, 0.308593, 0.0137575, 145.376, 0, 2
54166457.36, 315419.48,    0.00, 170410850.22,   3245.79,       7.02,        442.04, 14030145.00,     1, 3.15, 1.00, 3.86 , 0.100893, 0.317415, 0.0140146, 142.708, 0, 3
51726961.80, 305945.45,    0.00, 164168859.04,   3069.66,       8.11,        541.08, 13506924.00,     1, 3.17, 1.00, 3.83 , 0.096349, 0.305788, 0.0134915, 148.241, 0, 4
55147261.37, 321114.58,    0.00, 176805851.92,   3274.88,       0.00,        482.57, 14402301.00,     1, 3.21, 1.00, 3.83 , 0.10272, 0.329327, 0.0143867, 139.017, 0, 5
55051173.14, 345079.05,    0.00, 177613686.18,   3734.67,       2.90,        483.43, 14513842.00,     1, 3.23, 1.00, 3.79 , 0.102541, 0.330831, 0.0144977, 137.953, 0, 6
56650578.14, 300120.19,    0.00, 184154255.82,   3246.04,       1.49,        526.21, 14862303.00,     1, 3.25, 1.00, 3.81 , 0.10552, 0.343014, 0.0148468, 134.709, 0, 7
51370743.34, 332393.23,    0.00, 164648575.98,   3647.68,       5.40,        613.66, 13493922.00,     1, 3.21, 1.00, 3.81 , 0.0956855, 0.306682, 0.0134859, 148.303, 0, 8
