cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple, Seconds, UC-Bandwidth(GB/s), C-Bandwidth(GB/s), Bit
7860801.40, 158144.07,    0.00,  21037592.00,    946.00,       0.00,        317.64, 2354949.00,     1, 2.68, 1.01, 3.34 , 0.0146419, 0.0391856, 0.00233935, 854.937, 0, 1
15813647.17, 176388.68,    0.00,  44209600.63,   1289.00,       8.88,        440.67, 4087985.00,     1, 2.80, 1.00, 3.87 , 0.0294552, 0.0823468, 0.00407296, 491.043, 0, 2
14746777.75, 182844.05,    0.00,  54743922.20,   1137.00,       0.00,        315.98, 3816435.00,     1, 3.71, 1.00, 3.86 , 0.027468, 0.101969, 0.00380143, 526.118, 0, 4
23669065.52, 227291.51,    0.00,  91252837.40,   1821.05,      11.00,        345.35, 6106899.00,     1, 3.86, 1.00, 3.88 , 0.0440871, 0.169972, 0.00609156, 328.323, 0, 8
