cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple, Seconds, UC-Bandwidth(GB/s), C-Bandwidth(GB/s), Bit
47004190.88, 288950.97,    0.00,  73022032.17,   2830.41,      22.07,        570.01, 12589322.00,     1, 1.55, 1.00, 3.73 , 0.0875521, 0.136014, 0.012574, 159.059, 0, 1
47405349.09, 314155.85,    0.00,  72451715.45,   3032.11,       4.90,        508.67, 12231116.00,     1, 1.53, 1.00, 3.88 , 0.0882993, 0.134952, 0.0122158, 163.722, 0, 2
48640371.33, 297345.26,    0.00,  86408045.70,   2828.53,       6.48,        555.99, 12755052.00,     1, 1.78, 1.00, 3.81 , 0.0905998, 0.160948, 0.0127398, 156.988, 0, 3
48311229.28, 328986.65,    0.00,  73452635.28,   3475.58,      14.33,        555.58, 13032602.00,     1, 1.52, 1.00, 3.71 , 0.0899867, 0.136816, 0.0130172, 153.643, 0, 4
50885485.25, 308653.42,    0.00, 102576822.68,   2869.88,       2.63,        542.91, 13123616.00,     1, 2.02, 1.00, 3.88 , 0.0947816, 0.191064, 0.0131081, 152.578, 0, 5
50214688.73, 294090.84,    0.00,  94609737.63,   3539.06,      12.17,        580.02, 13522671.00,     1, 1.88, 1.00, 3.71 , 0.0935321, 0.176224, 0.0135061, 148.081, 0, 6
56208477.23, 348308.06,    0.00, 116664851.44,   3755.96,       4.16,        515.95, 14822260.00,     1, 2.08, 1.00, 3.79 , 0.104696, 0.217305, 0.0148066, 135.075, 0, 7
46532325.06, 303385.06,    0.00,  53544615.44,   3096.62,       2.45,        465.71, 12001783.00,     1, 1.15, 1.00, 3.88 , 0.0866732, 0.0997346, 0.0119866, 166.853, 0, 8
